,test_statistic,p,-log2(p)
"Albumin/Creatinine,_Urine_first",0.12589427739699277,0.7227275639690416,0.46847617686889786
"Albumin/Creatinine,_Urine_last",0.023655807559426884,0.8777639282798525,0.1880951110432591
"Albumin/Creatinine,_Urine_max",0.06065126102198296,0.8054695412705726,0.3120980602556167
"Albumin/Creatinine,_Urine_mean",0.034241756418823106,0.853193518864548,0.22905508834798932
"Albumin/Creatinine,_Urine_median",0.07200976624409333,0.7884327280425205,0.34294043062589946
"Albumin/Creatinine,_Urine_min",0.0060454602695190806,0.9380248854037659,0.09230189754930503
Albumin_first,1.2809979325982777,0.257713569054958,1.9561595953579187
Albumin_last,0.8611886087862821,0.3534062815361235,1.50060041192914
Albumin_max,0.4482986279843053,0.5031440180535447,0.9909566841357521
Albumin_mean,0.50870350804324,0.47570063674702323,1.0718741384725154
Albumin_median,0.08532652708262768,0.7702047785938548,0.37668602078872676
Albumin_min,2.008573113327802,0.15641236895508692,2.676573490652728
Bicarbonate_first,0.7200986163282941,0.39611156311681306,1.3360212785027104
Bicarbonate_last,1.3271544378731173,0.24931207777747852,2.003975319849343
Bicarbonate_max,0.5661675467785799,0.4517858629151341,1.1462889676298684
Bicarbonate_mean,0.09905799976954956,0.7529630129050107,0.4093490964033064
Bicarbonate_median,0.27739449553373113,0.5984140640265058,0.7407840128054253
Bicarbonate_min,0.0009267627972222817,0.9757139278917649,0.03546987262014412
CKD_stage_first,13.525981021730145,0.00023528336595247034,12.053313050938621
"Calcium,_Total_first",2.589325131479119,0.10758616780012885,3.2164354903100945
"Calcium,_Total_last",2.4906617174291115,0.11452356466815317,3.126283613315998
"Calcium,_Total_max",0.3612611872587785,0.5478066373833963,0.8682613486284834
"Calcium,_Total_mean",1.03308565529687,0.30943503625681545,1.6922915374920076
"Calcium,_Total_median",2.1915240091460126,0.13877194860201186,2.849212124253328
"Calcium,_Total_min",0.0852867655356019,0.7702568210524201,0.3765885416994283
Phosphate_first,1.6080087777013055,0.20477193260132903,2.2879101113455684
Phosphate_last,2.5797505748476715,0.10823871652805805,3.2077114575332977
Phosphate_max,0.35342114972204197,0.5521828599370613,0.8567819883224483
Phosphate_mean,0.39238175582141477,0.5310500993216168,0.9130801234372512
Phosphate_median,0.15593367764069413,0.6929282143235791,0.5292221944783029
Phosphate_min,0.7522522420601077,0.38576409313437654,1.3742092310954364
anchor_age,11.89605069061909,0.0005625308767194293,10.795780093055429
disch_age,12.536529933621695,0.00039907272360397165,11.291060704724519
eGFR_first,0.4059208024924269,0.5240472401848055,0.9322312256658074
eGFR_last,0.03270349081122136,0.8564923292256186,0.22348776934599943
eGFR_max,0.10141550865790454,0.7501375357061191,0.41477296075887976
eGFR_mean,0.00325474756403516,0.9545050511143736,0.06717526268677575
eGFR_median,0.1015052752542796,0.7500306684340021,0.4149785068881095
eGFR_min,0.3314343480090438,0.5648157101563098,0.8241478776497497
gender,1.1528028378167643,0.28296318527404585,1.8213137304432545
subject_id,0.024576024835968262,0.8754281482235116,0.19193932223140528
