,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",2.261061714472318,0.13266308130094548,2.9141611547333826
Acute on chronic diastolic heart failure,0.022021559301605712,0.8820297608108888,0.1811007599096458
"Albumin/Creatinine,_Urine_first",0.6872400851932879,0.4071047194414932,1.2965281485866138
"Albumin/Creatinine,_Urine_last",0.14758841301857634,0.700850692463709,0.5128209661796395
"Albumin/Creatinine,_Urine_max",0.18259723699333621,0.6691506520752831,0.579597040173647
"Albumin/Creatinine,_Urine_mean",0.06632719105807194,0.7967614321437104,0.32778028056579833
"Albumin/Creatinine,_Urine_median",0.29136452284334885,0.5893474360294279,0.7628097028363509
"Albumin/Creatinine,_Urine_min",0.0225990693610242,0.8805043690982595,0.18359793210202746
Albumin_first,4.2796135950216945,0.038572116123620964,4.696297893242625
Albumin_last,1.224569136298953,0.26846581749150106,1.897189686657622
Albumin_max,0.7716013031384389,0.37972213181724146,1.3969840070905664
Albumin_mean,0.22076270602319115,0.6384593881869656,0.6473332405422441
Albumin_median,0.2562021327324694,0.6127414294254121,0.7066496950068826
Albumin_min,0.3063525272146541,0.5799270931826277,0.7860565548457835
"Anemia, unspecified",0.5649568208958767,0.45226992998081983,1.1447440160298696
Bicarbonate_first,0.7730025289166725,0.3792897957433097,1.398627536407212
Bicarbonate_last,6.609072490334271,0.01014604941430434,6.622938097818285
Bicarbonate_max,0.05951126744083615,0.8072700761866018,0.30887667988465806
Bicarbonate_mean,0.048749242722467015,0.8252541540860285,0.2770895993199157
Bicarbonate_median,0.00776983162026794,0.9297601206002939,0.10506954797869567
Bicarbonate_min,1.1429913408814323,0.28502112836533483,1.810859225932549
CKD_stage_first,7.050622361739782,0.00792377158457013,6.979596991834683
"Calcium,_Total_first",3.120332003476288,0.07732102824327033,3.6929953666124975
"Calcium,_Total_last",0.5945544231124213,0.440663335959698,1.182251228291405
"Calcium,_Total_max",0.008026379525283641,0.9286129806209504,0.10685064712236997
"Calcium,_Total_mean",0.003413657474384933,0.9534088961586488,0.06883300778050107
"Calcium,_Total_median",0.7924050487693283,0.37337388093637913,1.4213070863418038
"Calcium,_Total_min",0.7537154835207363,0.38530243026340616,1.375936809180824
Chloride_max,0.1161861862392302,0.7332082646542122,0.44770504699586106
Creatinine_first,0.000434742880925449,0.9833649222837874,0.02420120134141215
Creatinine_last,2.0795182064474127,0.14928729038071917,2.7438367484719133
Creatinine_max,0.6108167955788267,0.43448043783859003,1.2026368726660719
Creatinine_mean,0.09992450284932075,0.7519202523840857,0.4113484350999911
Creatinine_median,3.3741437798608104e-05,0.9953653236511417,0.0067019673338991
Creatinine_min,0.0011831049249415035,0.9725611400289452,0.04013914695413274
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",0.8547005033490794,0.35522598017657814,1.493190994896316
Esophageal reflux,0.005798440387618432,0.9393017574270789,0.09033938641467432
MCHC_max,3.3295782549954174,0.06804432056192818,3.8773814400819333
MCHC_min,2.797741268800792,0.09439720415907597,3.4051120590601514
Monocytes_min,2.566488398838627,0.10914978465565982,3.195618810884981
Neutrophils_max,0.05084025593119132,0.8216075633461816,0.2834786323746271
Neutrophils_min,3.8494751086741874,0.04976156127366061,4.328824438903637
"Osteoporosis, unspecified",0.003712778228415601,0.9514129095936706,0.0718564937194202
Other and unspecified hyperlipidemia,3.4496153612998643,0.06326649120187235,3.982414604448753
"Peripheral vascular disease, unspecified",0.07917351172311161,0.7784205817400986,0.3613782388513026
Personal history of tobacco use,0.09884212242586923,0.7532235817178505,0.4088499267264726
