covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-2.2053765354828767e-08,0.9999999779462349,1.042121148007513e-08,-4.247896453105138e-08,-1.6285661786061596e-09,0.9999999575210363,0.9999999983714337,0.0,-2.1162381549395226,0.034324557665575926,4.864615061035034
gender,0.12221217265787533,1.1299938301418415,0.0704087323170627,-0.015786406880688955,0.26021075219643963,0.9843375453299119,1.2972034463347288,0.0,1.7357530612471872,0.08260750691942187,3.5975832979204054
anchor_age,0.3466020566805503,1.4142538205158635,0.014835513866487663,0.31752498381008987,0.3756791295510107,1.3737235652852928,1.4559798778936544,0.0,23.36299637476656,1.0167820898735803e-120,398.6073608631819
disch_age,-0.3502531234738657,0.7045097391947563,0.01479793163836352,-0.37925653653074404,-0.3212497104169874,0.6843700242330555,0.7252421278627511,0.0,-23.66905943570095,7.5129417810662885e-124,409.0097058433886
CKD_stage_first,-1.0785935160935654,0.34007349733740905,0.0505331143126261,-1.1776366001729581,-0.9795504320141727,0.3080058199723526,0.37547986463917393,0.0,-21.344291377348775,4.4059170637143363e-101,333.37529524539235
eGFR_first,-0.028579482107334412,0.9718250483735438,0.013863148357873608,-0.05575075360110228,-0.0014082106135665483,0.9457748374877009,0.9985927804497363,0.0,-2.0615434077139216,0.03925122672287585,4.671118446360178
eGFR_last,0.03414408144837169,1.034733681915945,0.014075818636496646,0.00655598386792057,0.0617321790288228,1.0065775213709411,1.0636774314541506,0.0,2.42572615704502,0.015277793424170258,6.0324200001894575
eGFR_min,-0.009239062915687914,0.990803486087626,0.013631882087765739,-0.03595706084920544,0.017478935017829614,0.9646817152074479,1.0176325855127117,0.0,-0.6777540222402403,0.4979276675003702,1.0059919134729731
eGFR_max,0.0038418796562464832,1.0038492691360266,0.0138433215080458,-0.023290531925931994,0.03097429123842496,0.9769785990625082,1.0314589860125074,0.0,0.2775258563498338,0.7813763547431485,0.355910496149678
eGFR_mean,-0.011420842286047669,0.9886441279596823,0.013801858779820923,-0.038471988414204614,0.015630303842109276,0.9622586587532805,1.0157530959664418,0.0,-0.827485809574111,0.4079617618817273,1.2934941596731082
eGFR_median,-0.017383385921080092,0.9827668334321605,0.013834340331298064,-0.04449819472029422,0.009731422878134034,0.9564773268011693,1.0097789271434041,0.0,-1.2565388377610502,0.2089206740076551,2.258972831718714
"Albumin/Creatinine,_Urine_first",0.00020345712435008192,1.0002034778231546,0.00010058844715843797,6.307390658733165e-06,0.0004006068580414307,1.0000063074105503,1.000400687111685,0.0,2.0226689058000304,0.04310729476523665,4.535924161965757
"Albumin/Creatinine,_Urine_last",0.00023330949599855558,1.0002333367147758,0.00010169004872526915,3.400066291090481e-05,0.0004326183290862064,1.00003400124094,1.0004327119218919,0.0,2.2943198368296196,0.02177213395967097,5.521373371952082
"Albumin/Creatinine,_Urine_min",-5.4273752241462026e-05,0.999945727720552,0.00017241482089075939,-0.00039220059158827456,0.0002836530871053505,0.9996078763090099,1.0002836933204462,0.0,-0.3147858865094285,0.7529242283177477,0.4094234105088886
"Albumin/Creatinine,_Urine_max",-0.0002290692410021705,0.9997709569933532,0.00012480973431149876,-0.0004736918251727211,1.555334316838015e-05,0.9995264203490871,1.0000155534641222,0.0,-1.8353475573504707,0.06645420875845323,3.9114956168697157
"Albumin/Creatinine,_Urine_mean",3.602155673330362e-05,1.0000360222055173,0.0003741443043409006,-0.0006972878047956546,0.0007693309182622617,0.9993029552438507,1.0007696269291986,0.0,0.09627717518447822,0.923300438427299,0.1151279231793887
"Albumin/Creatinine,_Urine_median",-4.485033954116421e-05,0.9999551506662203,0.00022373504754671857,-0.00048336297481208916,0.00039366229572976075,0.9995167538262507,1.0003937397909,0.0,-0.20046184106135145,0.841119398670141,0.24961748627058034
Bicarbonate_first,0.005895662746807914,1.005913076371219,0.009447821503516267,-0.012621727132447035,0.024413052626062862,0.9874575927965765,1.0247134910866604,0.0,0.6240235110933966,0.5326121446957341,0.9088427694320608
Bicarbonate_last,0.009863797334671744,1.0099126049276748,0.008639273842687784,-0.007068868249575267,0.026796462918918754,0.9929560574328867,1.0271587165988338,0.0,1.141739168624732,0.2535624545503324,1.979586956050898
Bicarbonate_min,-0.01520858501629409,0.984906481441581,0.019133031580570205,-0.052708637829279155,0.02229146779669098,0.9486563748002107,1.0225417790397795,0.0,-0.7948863175315389,0.42667963400526765,1.2287748444861661
Bicarbonate_max,0.009583196085745012,1.0096292619444818,0.016097589881595754,-0.02196750032007906,0.04113389249156908,0.9782720280623635,1.0419916110588994,0.0,0.5953186878429176,0.5516304664623022,0.8582259560190199
Bicarbonate_mean,-0.09380173812161251,0.9104632545028488,0.05818971942415994,-0.2078514924634568,0.020248016220231785,0.8123276645349728,1.0204543978869145,0.0,-1.6119984603786683,0.10696227475903386,3.2248260423251307
Bicarbonate_median,0.026608066366069077,1.0269652216648586,0.04367123331645313,-0.05898597809462476,0.11220211082676292,0.9427199877948885,1.1187389470505407,0.0,0.6092813127868429,0.5423379914076311,0.8827358585272552
Albumin_first,-0.04560589432269819,0.9554184238280371,0.07998578188074855,-0.20237514608424176,0.1111633574388454,0.8167884554691337,1.1175774565346392,0.0,-0.5701750142380603,0.5685590008472934,0.8146180257820261
Albumin_last,-0.23190502709626207,0.7930214352787636,0.07649187647478616,-0.38182635009672955,-0.08198370409579459,0.6826135786960339,0.9212869717782602,0.0,-3.0317602049245633,0.0024313226661229806,8.68404291539056
