,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",0.5820609571823397,0.44550562351087997,1.166484452230952
"Albumin/Creatinine,_Urine_first",0.006886123723968902,0.9338653184425291,0.09871359465866547
"Albumin/Creatinine,_Urine_last",0.014478023306617644,0.9042259718075627,0.14524473854449554
"Albumin/Creatinine,_Urine_max",0.02222887969062646,0.8814798337816677,0.18200053048765383
"Albumin/Creatinine,_Urine_mean",0.013612003672809202,0.9071211746219533,0.14063281386958978
"Albumin/Creatinine,_Urine_median",0.028659181088934994,0.8655683624550583,0.20828032696494223
"Albumin/Creatinine,_Urine_min",0.07063129049346338,0.7904198301517105,0.33930895299683345
Albumin_first,3.260463103423946,0.07096908105347285,3.816665564118622
Albumin_last,0.006679947564980309,0.9348606691747328,0.0971767318862656
Albumin_max,0.08917589884503757,0.7652274553055254,0.38603945836675896
Albumin_mean,0.27189968018308297,0.6020602882834449,0.732020134060886
Albumin_median,0.0883935192298404,0.7662294842548979,0.3841515536336426
Albumin_min,0.5195079193547736,0.4710516650820121,1.0860427911642951
"Anemia, unspecified",0.08289775073106884,0.7734082106134563,0.3706980145260687
Bicarbonate_first,0.862554271195204,0.3530248828144732,1.5021582200371528
Bicarbonate_last,1.6783912890434356,0.19513834955276696,2.357430763518066
Bicarbonate_max,0.3728656695477007,0.5414463613928222,0.885109671154398
Bicarbonate_mean,0.24018932162116266,0.6240694101608593,0.6802215976493545
Bicarbonate_median,0.5800704275364856,0.446284716911716,1.1639636927636605
Bicarbonate_min,0.52644439807672,0.46810555624688355,1.0950942054575523
CKD_stage_first,14.435885240800628,0.00014501256511629363,12.751534466581125
"Calcium,_Total_first",1.8543648414715586,0.17327658968290305,2.5288513407341857
"Calcium,_Total_last",0.9847124641540624,0.3210381374032385,1.6391834038502695
"Calcium,_Total_max",0.5897522847765231,0.442514924643967,1.1762019812810254
"Calcium,_Total_mean",0.3966210740847434,0.5288394544951162,0.9190982805964462
"Calcium,_Total_median",1.5496077490490572,0.2131933570749942,2.229765609249333
"Calcium,_Total_min",0.7238092968183581,0.39489722630702084,1.340450860305508
Chloride_max,0.3395957218822001,0.5600626718948494,0.8363398188370437
Chronic diastolic heart failure,0.005142890921866891,0.9428295526043007,0.08493111490824619
"Constipation, unspecified",0.001866470293914671,0.9655399804268825,0.05059209633349646
Coronary atherosclerosis of native coronary artery,1.960570640533281,0.1614523026416351,2.6308200779925857
Creatinine_first,0.042452408481779315,0.8367598046992903,0.2571145441555151
Creatinine_last,0.001060797810664032,0.9740175804538955,0.037980282533795776
Creatinine_max,0.004333044197281458,0.9475164654477275,0.0777770809826477
Creatinine_mean,0.029547627477050763,0.8635206801866735,0.2116973660671539
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",0.6545063251589971,0.4185061432568309,1.256679294618038
Eosinophils_min,0.17158640573742054,0.6787057501540311,0.5591418588607697
Hyperpotassemia,0.17631586347815073,0.6745586352268574,0.5679842416703225
Long-term (current) use of anticoagulants,0.04321667684759682,0.8353178157690535,0.2596028865254363
Lymphocytes_min,0.5289381569228839,0.4670536227260095,1.0983398987002282
MCHC_max,1.4129358591553844,0.2345696347196161,2.091911827790283
MCHC_min,2.330898333190942,0.12682866611398746,2.979047231220793
MCH_max,1.0928207194967852,0.2958470726651702,1.7570764748453571
Monocytes_min,3.9649608687785345,0.046456601704211085,4.427972564766918
Neutrophils_max,0.2564800043526332,0.6125488182741015,0.7071032677919862
Neutrophils_min,4.705136000716488,0.030072622452875543,5.055405507603084
Old myocardial infarction,2.2472028560431236,0.13385616626063088,2.901244494730292
Other and unspecified hyperlipidemia,0.9710092647624835,0.3244286001249034,1.624027088403654
Percutaneous transluminal coronary angioplasty status,2.1931573373239823,0.13862489732444633,2.8507417030635294
"Peripheral vascular disease, unspecified",1.0187846463861097,0.3128074679866616,1.6766531388318953
