,test_statistic,p,-log2(p)
"Albumin/Creatinine,_Urine_first",0.13266886548853785,0.7156807596894524,0.4826119000220523
"Albumin/Creatinine,_Urine_last",0.010905204411504174,0.9168297139008876,0.12527429315425492
"Albumin/Creatinine,_Urine_max",0.22104337188840475,0.6382460687851002,0.6478153483681015
"Albumin/Creatinine,_Urine_mean",0.47056057300080606,0.4927293917527834,1.0211325626095815
"Albumin/Creatinine,_Urine_median",1.0894060917632709,0.29660283718577984,1.7533956967769575
"Albumin/Creatinine,_Urine_min",0.03353302547746384,0.8547036682568456,0.2265037806656644
Albumin_first,0.08499785976891837,0.7706353554084573,0.3758797190347551
Albumin_last,0.02371365076464998,0.8776157497733394,0.1883386781754223
Albumin_max,0.00016356558020977498,0.9897959123217347,0.014797010739972633
Albumin_mean,0.00486229625644978,0.9444084300406954,0.08251717538388911
Albumin_median,0.826305103884462,0.36334312734377316,1.4605954769670617
Albumin_min,0.5277404082799875,0.46755839092439977,1.096781547990446
Basophils_mean,0.05876210704907448,0.8084632872618664,0.3067458332327236
Bicarbonate_first,1.039831783544139,0.3078605978295897,1.6996508619750064
Bicarbonate_last,1.691245617874604,0.19343685069357236,2.3700654332240356
Bicarbonate_max,0.6246736486748496,0.42931581251176054,1.219888783941412
Bicarbonate_mean,0.33962295276071075,0.5600469416067513,0.836380339886696
Bicarbonate_median,0.4037092738723219,0.5251798240726285,0.9291166018657686
Bicarbonate_min,3.089837192767481,0.07878269026018117,3.665977507035087
"Bilirubin,_Total_max",0.393357842358452,0.5305396371270878,0.9144675545852394
"Bilirubin,_Total_mean",0.18400922922092525,0.6679501734527475,0.5821876077474883
CKD_stage_first,17.04773308721871,3.6451864372990434e-05,14.743647869682075
"Calcium,_Total_first",0.10382691061506513,0.7472846443660603,0.4202702176089263
"Calcium,_Total_last",0.3110649806173614,0.5770274048436539,0.7932882562710989
"Calcium,_Total_max",0.011846682562419981,0.9133274403093201,0.13079591614551583
"Calcium,_Total_mean",0.10419480738134941,0.7468526170511847,0.42110452339617205
"Calcium,_Total_median",0.40784506170243395,0.5230652982667197,0.9349370344473971
"Calcium,_Total_min",0.6961917964657159,0.40406627209130874,1.3073361618697485
"Cholesterol,_LDL,_Calculated_max",1.5862113565206213,0.20786826147558787,2.2662585988712705
"Congestive heart failure, unspecified",0.014376581114868664,0.9045604778397216,0.14471113193843232
"Creatinine,_Urine_min",0.003904408776686529,0.9501763930666519,0.07373273114928267
Creatinine_last,1.2383362767343644,0.26579193493366143,1.9116307660736487
Creatinine_max,0.044530601209024745,0.8328695187755262,0.2638376009296095
Creatinine_mean,0.1196665502904811,0.7293964243397246,0.45522496760158965
Creatinine_median,0.006164009406956118,0.9374214169470335,0.09323033893290204
Creatinine_min,1.5427419906806321,0.21421012637602935,2.2229014125248634
Hemoglobin_last_y,0.00759008960000413,0.9305752376522363,0.10380529699446439
Hemoglobin_max_y,0.5918978572813003,0.4416861660608349,1.1789064480831661
Hemoglobin_min_y,0.03078111883233229,0.8607296015380913,0.21636800916890836
MCHC_min,0.29190777914238103,0.5890005664373343,0.7636590734021862
MCH_min,8.413565747726961,0.003724314851607902,8.068809241933907
MCV_last,13.242365553916699,0.0002736922940722916,11.835157563992343
Monocytes_mean,1.351971199423961,0.24493380449966254,2.0295361939197103
Neutrophils_last,1.9062512213575378,0.16738027430908037,2.578798577950674
Neutrophils_max,0.846432862957893,0.35756342609088976,1.483728919036659
Neutrophils_min,0.09031909719159532,0.7637718809464296,0.3887862882627477
Orthostatic hypotension,0.053024892098658925,0.8178809261071162,0.29003727594927164
Phosphate_first,3.0847214966479664,0.07903079375483861,3.6614412916603807
Phosphate_last,1.1902114833918513,0.2752869017356848,1.8609921273459094
Phosphate_max,3.6913323591236495,0.054695908221221876,4.192423280152756
Phosphate_mean,1.0788185427598664,0.29896200643317195,1.741965943618706
Phosphate_median,0.5413109504601769,0.46188993335453865,1.1143789911289599
