,test_statistic,p,-log2(p)
Abnormality of gait,0.14076435875865517,0.7075223156487427,0.4991524428183888
Acute and subacute bacterial endocarditis,0.2170889560609055,0.6412669960979616,0.6410029365672028
"Albumin/Creatinine,_Urine_first",0.3336621385104539,0.5635106037609577,0.8274853365760878
"Albumin/Creatinine,_Urine_last",0.0024316231847723202,0.9606710618414618,0.057885564706369824
"Albumin/Creatinine,_Urine_max",0.092171785424678,0.7614341255051116,0.3932088656836217
"Albumin/Creatinine,_Urine_mean",0.18557961595245726,0.666621415838083,0.5850604287636783
"Albumin/Creatinine,_Urine_median",0.2087586492927481,0.6477421064885563,0.6265085653375735
"Albumin/Creatinine,_Urine_min",0.0945048248883466,0.7585264691868766,0.39872856992150285
Albumin_first,0.3077704332375369,0.5790515700041712,0.788236255349575
Albumin_last,0.06816746217322177,0.7940238798292415,0.33274569861085884
Albumin_max,0.11946560517841313,0.7296148079888591,0.4547930846893963
Albumin_mean,0.029854175016694077,0.8628215225707297,0.21286593076870386
Albumin_median,1.4941591511679047,0.22157226372525143,2.1741507978434615
Albumin_min,0.722686716231461,0.3952640291691507,1.3391114255900671
Bicarbonate_first,1.4722684922675313,0.22498811753775172,2.1520792855429964
Bicarbonate_last,5.337886018107225,0.020866762964651786,5.582649375431997
Bicarbonate_max,3.601688513513236,0.057720916930417615,4.114761971711741
Bicarbonate_mean,0.286877053631057,0.5922287733041027,0.7557735096493039
Bicarbonate_median,0.3936689916528887,0.5303771014246514,0.9149096052103
Bicarbonate_min,3.542195735236319,0.05982621443046971,4.063078412009558
CKD_stage_first,9.483926500810513,0.00207279863772761,8.914204312190583
"Calcium,_Total_first",1.5970562623526325,0.20632088064057574,2.2770382587710953
"Calcium,_Total_last",0.6535838449357685,0.418834268198678,1.2555486093097712
"Calcium,_Total_max",3.1254485594638944e-05,0.9955393928424774,0.006449691313182531
"Calcium,_Total_mean",0.1380082351945897,0.7102691798784146,0.49356220987787525
"Calcium,_Total_median",0.5224432297887042,0.46980132649624273,1.0898773080445974
"Calcium,_Total_min",0.8818718727808763,0.3476895006856845,1.5241285927841395
"Cardiac complications, not elsewhere classified",0.007213132023943833,0.9323169144437657,0.10110765376346861
Cholesterol_Ratio_(Total/HDL)_min,0.0834822558051814,0.7726326798859313,0.3721453946508471
Creatinine_last,0.7196801415231072,0.39624884856749754,1.3355213518583453
Creatinine_mean,0.04960728880532093,0.8237480346266568,0.2797249768762429
Glucose_max,6.192886038064508,0.012826484222250224,6.28473041219303
Heart valve replaced by other means,0.4729494635273479,0.4916333976121171,1.0243451707700058
Hypovolemia,2.4185297607640006,0.11990742192202222,3.0600071347281808
