,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",1.5471169293811626,0.21356156534781506,2.22727606617381
"Albumin/Creatinine,_Urine_first",0.09591674226922192,0.7567858462394421,0.40204298791078574
"Albumin/Creatinine,_Urine_last",0.00024725342673425255,0.9874543454574576,0.01821404757580928
"Albumin/Creatinine,_Urine_max",0.037199468783204445,0.84705949748208,0.2394647868320316
"Albumin/Creatinine,_Urine_mean",0.15084677495518314,0.6977274597305192,0.519264481486751
"Albumin/Creatinine,_Urine_median",0.332500751883268,0.5641902519399121,0.8257463555846516
"Albumin/Creatinine,_Urine_min",0.002468609700943745,0.9603733259497556,0.05833276113829863
Albumin_first,5.550242374108678,0.018478128071370097,5.758037577985042
Albumin_last,0.1319460093031291,0.716422821508631,0.481116800063599
Albumin_max,0.6921908704391421,0.4054201827054248,1.3025101837731035
Albumin_mean,0.40412832586652403,0.5249648821593983,0.9297071788306126
Albumin_median,0.015627535603554996,0.9005155211710216,0.15117695243322912
Albumin_min,0.3879345800996797,0.5333870769017353,0.9067452237211246
Aortocoronary bypass status,1.7029117487667855,0.1919076237181591,2.3815160697432756
Atrial fibrillation,1.7171260156063959,0.1900634105636011,2.3954472718920194
Basophils_mean,0.17569056927966006,0.6751031576183606,0.5668201281114106
Bicarbonate_first,0.7256033298924641,0.3943120433755648,1.3425903198896134
Bicarbonate_last,4.248902871041469,0.03927569603986351,4.670219346734913
Bicarbonate_max,0.26493848104996454,0.6067474717115222,0.7208319031415233
Bicarbonate_mean,0.001411145787476033,0.9700343383981375,0.04389227649495742
Bicarbonate_median,0.09290613254272423,0.7605146175602677,0.3949521171821162
Bicarbonate_min,0.9561391543389804,0.32816153577525337,1.6075219462195225
"Bilirubin,_Total_mean",0.00029712702913180336,0.9862472472427434,0.019978726524039554
CKD_stage_first,4.479308065767542,0.034307608026904905,4.8653276470333315
"Calcium,_Total_first",2.493148597121055,0.11434276866656387,3.128562966031288
"Calcium,_Total_last",1.0849332045192768,0.2975965798911745,1.7485701484225826
"Calcium,_Total_max",0.04784196244561331,0.8268618926611541,0.27428171278418756
"Calcium,_Total_mean",0.1192980803118372,0.7297970283061919,0.45443281852875084
"Calcium,_Total_median",0.5283861760750358,0.46728613583854417,1.0976218611378852
"Calcium,_Total_min",1.849142344536684,0.17388317772206463,2.5238097286079273
Chloride_max,0.0038508610211393343,0.9505187888892045,0.07321295000262586
"Cholesterol,_HDL_last",0.7133025801293514,0.39834961072471664,1.3278929297987332
"Creatinine,_Urine_last",0.006901619752754075,0.9337911187741277,0.0988282276195907
"Creatinine,_Urine_min",0.3574356060789233,0.5499338950244707,0.8626698854356907
Creatinine_first,0.03655083223085485,0.8483824417562695,0.23721333193177016
Creatinine_last,0.26303465319371744,0.6080429308541986,0.7177549061791881
Creatinine_median,0.5862178731138441,0.44388538174740344,1.1717408969875722
Hemoglobin_last_x,0.6871201370634995,0.40714565955020643,1.2963830725918395
Lymphocytes_mean,0.012561387057018265,0.9107618829452795,0.13485418158206888
MCHC_min,0.22278263465636144,0.6369278209559107,0.6507982047434233
MCH_mean,7.54097652680799,0.0060311346421678185,7.373354841634674
MCH_min,6.608640641316827,0.010148510257098108,6.622588226151211
Monocytes_max,0.018382820866866833,0.8921507384384673,0.16464060534189165
Monocytes_mean,0.9311419579684683,0.33456636372812354,1.5796356863369188
Monocytes_median,0.97901681865615,0.32244165838873406,1.6328899475838634
Monocytes_min,0.16296155599047446,0.6864443924927888,0.5427852396631634
Neutrophils_last,2.977604665515277,0.08442413050684835,3.566200773936022
Neutrophils_max,0.1266070293277402,0.721976257477503,0.4699767006872081
Neutrophils_mean,0.0006974523448605377,0.9789308580124128,0.030721129159751726
Other and unspecified hyperlipidemia,4.143213300944998,0.04180174779322907,4.580292924982709
Other ascites,1.0288577801125882,0.31042709331091145,1.6876736170030489
Other second degree atrioventricular block,1.3827504326914302,0.23963320366267002,2.0611002725678076
Phosphate_first,1.419321019265478,0.23351519229080595,2.098411681442308
Phosphate_last,0.6400057821674645,0.4237087033682102,1.2388553315922244
Phosphate_max,4.215331136279214,0.04006024643888973,4.641684893559938
Phosphate_mean,0.5631823020697206,0.4529808788941043,1.1424779419820077
Phosphate_median,0.008251819861198216,0.9276201010124298,0.10839401216439447
Phosphate_min,0.040760512859442904,0.8400008984886276,0.25153722384787625
Platelet_Count_max,0.6208320079482089,0.4307382745909394,1.215116570450477
