covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.947439100368557e-08,0.9999999805256092,1.033770282557563e-08,-3.973591622469176e-08,7.871342173206149e-10,0.9999999602640847,1.0000000007871341,0.0,-1.8838219024351948,0.059589069880840145,4.06880846101376
gender,0.09171541159219507,1.0960528537551177,0.06984364819366629,-0.045175623416276844,0.22860644660066698,0.9558296010317198,1.2568473051347473,0.0,1.3131532210041714,0.18913132323242873,2.402539777978361
anchor_age,0.3511929033350552,1.4207613690858385,0.0147593406727979,0.3222651271808141,0.3801206794892963,1.380250669419752,1.4624610678401309,0.0,23.79462003897768,3.7967896730774964e-125,413.31623177926974
disch_age,-0.35172192210978387,0.7034757158227928,0.014730954063792158,-0.38059406153273045,-0.3228497826868373,0.6834552741019911,0.7240826159438499,0.0,-23.876384420632757,5.3893645573328023e-126,416.1328247763416
CKD_stage_first,-0.9786183606606692,0.37583000181588894,0.048599228629725086,-1.0738710984513582,-0.8833656228699802,0.3416832644254831,0.41338925540421245,0.0,-20.136499863335487,3.5344876922620337e-90,297.15202742168657
first_stage_icd,-0.04014675843371005,0.9606484455453616,0.010717254549648591,-0.06115219136416933,-0.019141325503250775,0.9406800654989266,0.9810407063736938,0.0,-3.745992805128103,0.00017968174064072353,12.442268570732267
eGFR_first,-0.029019904790071105,0.9713971288182447,0.013861084384280032,-0.05618713096993052,-0.0018526786102116902,0.945362212789202,0.9981490365394343,0.0,-2.093624422558369,0.036293450218351044,4.78414697736915
eGFR_last,0.03256900551697258,1.0331051806414062,0.014073145885051402,0.0049861464330937695,0.060151864600851396,1.004998597947643,1.061997814173782,0.0,2.314266176375505,0.020653125930944236,5.59749603409761
eGFR_min,-0.010186829514641095,0.9898648804971594,0.01363584404329504,-0.036912592738304405,0.016538933709022215,0.96376037132257,1.0166764590009338,0.0,-0.7470626301017369,0.4550257563865949,1.1359798846100406
eGFR_max,0.004124419320889181,1.004132936443626,0.01384791935013938,-0.023017003866199315,0.031265842507977676,0.9772458666740392,1.0317597530317437,0.0,0.29783675197730475,0.7658277627532384,0.384908133236235
eGFR_mean,-0.009257106011276415,0.9907856090868958,0.013802404628883786,-0.03630932198393756,0.017795109961384736,0.9643419551774338,1.0179543863079894,0.0,-0.6706879170825356,0.502419361824965,0.9930360321892332
eGFR_median,-0.014362367971238623,0.9857402788309882,0.013835774084206037,-0.0414799868745151,0.012755250932037858,0.9593685351122274,1.0128369461232398,0.0,-1.03806031262347,0.2992419767938458,1.7406155284033067
"Albumin/Creatinine,_Urine_first",0.00012180322933968885,1.0001218106476542,0.00010723176657054987,-8.836717113719503e-05,0.00033197362981657276,0.9999116367331262,1.0003320287391602,0.0,1.1358875567861892,0.25600362663039994,1.9657638468314895
"Albumin/Creatinine,_Urine_last",0.00015281642079590835,1.00015282809782,0.0001073294146319114,-5.7545366364404274e-05,0.00036317820795622095,0.9999424562893385,1.0003632441651462,0.0,1.4238074559522722,0.15450221678838136,2.6943005569087743
"Albumin/Creatinine,_Urine_min",-2.692069852282453e-05,0.999973079663836,0.0001768031107599247,-0.00037344842796692304,0.00031960703092127397,0.9996266212952176,1.0003196581106901,0.0,-0.15226371531086513,0.8789789421686593,0.18609949196777695
"Albumin/Creatinine,_Urine_max",-0.0001638472529971185,0.999836166169231,0.00012977999239123771,-0.0004182113639978267,9.051685800358966e-05,0.999581876074185,1.000090520954778,0.0,-1.2625000971118943,0.20676889137423654,2.273908948093764
"Albumin/Creatinine,_Urine_mean",2.5453058682134505e-05,1.000025453382614,0.00037348514637356746,-0.0007065643769707281,0.0007574704943349971,0.999293685180859,1.0007577574475583,0.0,0.06815012304847014,0.9456661306472439,0.08059716785239736
"Albumin/Creatinine,_Urine_median",-2.2353650863202036e-05,0.9999776465989778,0.00022114538671625498,-0.0004557906441742443,0.0004110833424478402,0.9995443132126018,1.0004111678487844,0.0,-0.10108124431229187,0.9194859666503922,0.1211005387366999
Bicarbonate_first,0.0055318713299459645,1.005547200383233,0.009533889392548983,-0.013154208512038496,0.024217951171930423,0.9869319299805271,1.0245135874958549,0.0,0.5802323796906314,0.561757920816538,0.8319795332620181
Bicarbonate_last,0.01393675091636085,1.0140343201686253,0.008649780947103397,-0.003016508214122568,0.030890010046844267,0.9969880368755318,1.0313720570833882,0.0,1.6112258797753638,0.10713049904724349,3.222558834590932
Bicarbonate_min,-0.02135877772860677,0.978867705629253,0.01875712033081058,-0.05812205803067953,0.015404502573465987,0.9435347744116029,1.015523763521497,0.0,-1.13870238884818,0.2548273060459133,1.972408216875959
Bicarbonate_max,0.0007112145861331699,1.0007114675591962,0.015996117592351203,-0.03064059978734275,0.032063028959609094,0.9698240654235163,1.0325825858602142,0.0,0.04446170028615246,0.9645363805128323,0.05209243982127904
Bicarbonate_mean,-0.05433112155781889,0.9471184432399656,0.05778900019387567,-0.16759548064039342,0.058933237524755634,0.8456958658509565,1.0607044231234153,0.0,-0.9401637227767226,0.3471335867546126,1.526437135655401
Bicarbonate_median,0.0029030381788006233,1.0029072560747179,0.04387262277210698,-0.08308572236184089,0.08889179871944214,0.9202722559274844,1.0929623899979621,0.0,0.06616969753279249,0.947242721750166,0.0781939452262547
Albumin_first,-0.007944915229134184,0.9920865621928857,0.08056806883206374,-0.16585542844392318,0.1499655979856548,0.8471687018340011,1.1617942739775047,0.0,-0.09861121588621645,0.9214469644398348,0.11802696358542089
Albumin_last,-0.2326347394235561,0.7924429688443448,0.07767836090361745,-0.3848815291727505,-0.08038794967436169,0.6805312545297268,0.9227582931584646,0.0,-2.9948461414139134,0.0027458330855438876,8.50854035545422
Albumin_min,0.2447708378834417,1.2773285643453478,0.12687272207799793,-0.003895128009994031,0.49343680377687743,0.9961124481612021,1.6379358217080615,0.0,1.9292629169961624,0.053698230895483964,4.218981630807136
Albumin_max,0.07250666659145556,1.0751999739852218,0.13715430235823367,-0.19631082635539943,0.3413241595383105,0.8217567713156175,1.406809197576795,0.0,0.5286503255441103,0.5970480424151932,0.7440810699877594
Albumin_mean,-0.5654379540583976,0.5681112856234861,0.4080832565083818,-1.3652664395086465,0.2343905313918513,0.25531264155018324,1.2641380814248937,0.0,-1.3855945938492182,0.1658707299397419,2.5918687685476733
Albumin_median,0.1876086899356892,1.2063613616343767,0.2609626579459059,-0.32386872094813174,0.6990861008195102,0.7233451962185141,2.0119131812202093,0.0,0.7189100977603393,0.4721963143495743,1.0825413139949769
Phosphate_first,0.10109775669627243,1.1063847929992532,0.03422272689614817,0.034022444527071774,0.16817306886547306,1.034607827750923,1.1831413578621153,0.0,2.9541116639554272,0.0031357052304041276,8.316994338289893
Phosphate_last,0.01178609442027933,1.0118558241087436,0.02933128752598767,-0.04570217275084545,0.06927436159140411,0.9553264420719685,1.0717302104212605,0.0,0.4018266981917105,0.6878115721501791,0.5399147060607059
Phosphate_min,-0.18265549397830877,0.8330550988053845,0.06797364438459973,-0.3158813888700575,-0.04942959908656003,0.7291459298614291,0.9517721614074386,0.0,-2.6871516987500472,0.007206421587267168,7.116501230445494
Phosphate_max,-0.033729495809502345,0.9668330016463506,0.030586965547317567,-0.09367884667861223,0.02621985505960755,0.9105751495213228,1.0265666195303993,0.0,-1.1027408311335536,0.2701397297114422,1.8882222608806507
Phosphate_mean,0.2964361327215491,1.3450566521461957,0.18167011819095744,-0.059630755999862395,0.6525030214429606,0.9421123386963409,1.9203414743364926,0.0,1.6317275271982739,0.10273689844455643,3.282973669391384
Phosphate_median,-0.1352771074730981,0.8734738320221322,0.14375072238245298,-0.4170233460943218,0.14646913114812557,0.6590055345591587,1.157739192187221,0.0,-0.9410534098965389,0.34667748941254906,1.528333932898762
"Calcium,_Total_first",-0.05328009241747191,0.9481144156294886,0.05284503738276683,-0.1568544624493677,0.05029427761442388,0.8548284594051797,1.051580507450522,0.0,-1.008232656390304,0.3133427839755706,1.6741863254488543
"Calcium,_Total_last",-0.0032671641982263363,0.9967381671749851,0.05351454680127264,-0.10815374857770386,0.10161942018125118,0.8974895980729735,1.1069621041140687,0.0,-0.061051889505091335,0.951317884244086,0.07200059460974313
