,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",0.4739652676474443,0.49116859375493915,1.025709779868527
"Albumin/Creatinine,_Urine_first",0.25900374565180423,0.6108054223539312,0.711215225338709
"Albumin/Creatinine,_Urine_last",0.016816455157773424,0.8968209709885292,0.157108080808009
"Albumin/Creatinine,_Urine_max",0.003636307946963169,0.9519152626604068,0.07109494108173066
"Albumin/Creatinine,_Urine_mean",0.21335416156888948,0.6441510532213084,0.6345290553366462
"Albumin/Creatinine,_Urine_median",1.4276105281570601,0.232154797703084,2.1068409989884933
"Albumin/Creatinine,_Urine_min",0.10460419497040938,0.7463728552272937,0.42203157700033517
Albumin_first,0.017069898621988364,0.8960507459248878,0.15834765633096703
Albumin_last,0.07243184014421086,0.7878283824700943,0.34404670216584887
Albumin_max,0.6855847774304094,0.40767023402537916,1.2945254723549435
Albumin_mean,0.00018486497196605487,0.9891518921229523,0.015736019619064436
Albumin_median,1.2434968798043424,0.2647981825873507,1.917034874483977
Albumin_min,0.46958397664127566,0.493178621008996,1.0198178337370634
Asparate_Aminotransferase_(AST)_min,1.0637493987948428,0.30236158917974615,1.7256532179593465
Basophils_max,0.35584794828922645,0.5508212705024723,0.8603438232577586
Bicarbonate_first,1.46630218869302,0.22593003247980015,2.1460520365078137
Bicarbonate_last,1.8356096067392493,0.17546640113020495,2.5107332897900734
Bicarbonate_max,1.445596298595503,0.2292358801692852,2.1250952214251724
Bicarbonate_mean,0.32641432396425174,0.567778131419655,0.8166008116933074
Bicarbonate_median,0.8474079092544409,0.3572866633539188,1.484846032271942
Bicarbonate_min,2.1503891719249553,0.14253375659371803,2.8106244583961066
"Bilirubin,_Total_min",0.42134616058504115,0.5162660995083738,0.9538132279073734
CKD_stage_first,8.513032262167597,0.003526120030275672,8.147702699358472
"Calcium,_Total_first",0.24629918042446453,0.619693078272993,0.6903742408218231
"Calcium,_Total_last",0.5583032494316229,0.4549446980793227,1.1362369092588298
"Calcium,_Total_max",0.007417463885650823,0.9313672891092056,0.10257788125890806
"Calcium,_Total_mean",0.18308160833673878,0.6687382217238578,0.5804865179968265
"Calcium,_Total_median",0.4276574836471383,0.5131406295598067,0.9625738348153953
"Calcium,_Total_min",0.997875533156736,0.3178251132753637,1.653694969677383
Chloride_min,2.4550591925193594,0.11714675268757987,3.0936111316931996
"Creatinine,_Urine_min",0.011673522073338567,0.913960730281713,0.12979591586761696
Creatinine_last,0.9192056395522247,0.3376836318490766,1.5662558439472722
Creatinine_max,0.03529899035160324,0.8509705210475856,0.2328189393275795
Creatinine_mean,0.0019331351535354828,0.964930363553345,0.05150326419709186
Creatinine_median,0.8619729433588472,0.35318716580592757,1.5014951759229374
Eosinophils_max,2.636105429653756,0.10445933309358003,3.258986696725632
Hemoglobin_min_y,0.2001641686284398,0.6545883664600767,0.6113401322839351
Hyperpotassemia,0.28136218491431536,0.5958097794006649,0.7470762912444409
MCHC_min,1.8709615372970476,0.1713649940768101,2.544855664723552
Phosphate_first,3.2466529634552863,0.0715694653918751,3.804511986693658
Phosphate_last,0.00027769606706845666,0.9867044953562827,0.019310013160781406
Phosphate_max,2.6868692536876577,0.10117843367725646,3.3050262845250304
Phosphate_mean,1.3005352740584026,0.2541154727948066,1.9764438728029574
Phosphate_median,0.390256730855497,0.532164483996625,0.9100558650077053
Phosphate_min,0.08548813634324648,0.769993389383117,0.37708203498259424
Potassium_max,0.9888336141924846,0.3200276165483825,1.6437316880926331
Protein/Creatinine_Ratio_last,5.763097220772703e-07,0.9993942854685569,0.0008741261128855555
Protein/Creatinine_Ratio_max,0.07581420964902713,0.783052114856568,0.35281976777573176
Protein/Creatinine_Ratio_mean,0.19685827880655796,0.657268793898555,0.6054446051317635
Protein/Creatinine_Ratio_median,0.5455182059831026,0.4601547573851905,1.1198089507531486
Protein/Creatinine_Ratio_min,0.7550769850850654,0.3848735723102056,1.3775434842893883
Protein_last,0.4978735799994779,0.4804359456972751,1.0575839989246925
Protein_max,2.8520110965433054,0.09125971309449525,3.4538780715795827
Protein_mean,0.3654307190236984,0.5455055139429579,0.8743343155741226
Protein_median,0.09502538486441378,0.7578830721279297,0.39995281149566325
Renal dialysis status,0.46604148428801134,0.49481392992012274,1.0150419794886012
"Total_Protein,_Urine_first",0.35259427097854573,0.5526482372874302,0.8555666032071781
"Total_Protein,_Urine_last",3.5457001933465215,0.05969996516840357,4.066126100016405
"Total_Protein,_Urine_max",0.09039465061061028,0.7636760374047495,0.3889673392836083
"Total_Protein,_Urine_mean",0.1397345692465619,0.7085450290478941,0.49706855350158796
"Total_Protein,_Urine_median",1.103179399829013,0.2935694162620408,1.76822641725579
"Urea_Nitrogen,_Urine_last",0.5529965149218924,0.45709589812498375,1.129431222305722
"Urea_Nitrogen,_Urine_mean",0.3133078090851788,0.5756574394579113,0.7967175426169156
"Urea_Nitrogen,_Urine_median",1.0349882127472694,0.30898995260090556,1.6943681679826852
Urea_Nitrogen_max,2.064019079557296,0.1508119423623004,2.729177418902241
Urea_Nitrogen_mean,1.3817866406976342,0.23979705175400806,2.0601141736082
Urea_Nitrogen_median,1.0716641237488445,0.30056986201063385,1.7342277366895829
Uric_Acid_max,3.5869554433553663,0.05823484162824297,4.101973620758428
Uric_Acid_mean,0.00550980494215747,0.9408289185100862,0.08799568952824632
Uric_Acid_median,0.14079124918484032,0.7074956672482335,0.4992067820787111
White_Blood_Cells_min,1.3262498423690325,0.24947347203646086,2.0030416813136043
anchor_age,17.45753522361213,2.937974126101843e-05,15.054818783889429
disch_age,16.59164957974012,4.635467016094071e-05,14.396925778981569
eGFR_first,0.27140917532896075,0.6023880483395129,0.7312349483376219
eGFR_last,0.006793180630554273,0.9343121331771681,0.09802349167771758
eGFR_max,0.004443101651485687,0.9468550896241797,0.07878444794506757
eGFR_mean,0.006032974465243382,0.9380887889437349,0.09220361638275873
eGFR_median,0.02958124948684987,0.8634438151036786,0.21182579125994722
eGFR_min,0.06394431266029837,0.8003670289645708,0.321266358089804
first_stage_icd,4.371456777908071,0.03654573580869322,4.774153108810258
gender,2.5399387879557005,0.11099908954987948,3.171380251710726
subject_id,0.6686931639660444,0.41350760085826754,1.2740142464587791
