,test_statistic,p,-log2(p)
"Albumin/Creatinine,_Urine_first",0.3012544744875414,0.5830970447226885,0.7781920840363064
"Albumin/Creatinine,_Urine_last",0.04909106575812,0.8246525021868178,0.2781417803587725
"Albumin/Creatinine,_Urine_max",0.04580681084320795,0.8305273608831043,0.26790039778922803
"Albumin/Creatinine,_Urine_mean",0.1408399540302649,0.707447408158038,0.4993051933170713
"Albumin/Creatinine,_Urine_median",0.6638033552874192,0.41522041831910794,1.2680507054222294
"Albumin/Creatinine,_Urine_min",0.027380218806637602,0.8685743036454555,0.20327882290564603
Albumin_first,3.1477799222078042,0.07603034066511655,3.717280934481038
Albumin_last,0.21899570780941788,0.6398062063088953,0.6442931077985177
Albumin_max,0.32022259091099164,0.571473906678452,0.8072404679524335
Albumin_mean,0.27190828419450036,0.6020545423570253,0.7320339028798392
Albumin_median,0.1895875659998532,0.6632601046005477,0.5923533451705871
Albumin_min,0.9564466376315091,0.3280837715655546,1.607863861167976
Atrial fibrillation,2.4173166040460434,0.12000033147947005,3.0588897038608427
Bicarbonate_first,0.543225548192163,0.46109902036103756,1.1168514942465533
Bicarbonate_last,1.837149796109236,0.1752853762819312,2.512222455011116
Bicarbonate_max,0.2642403337040748,0.6072218405845702,0.719704412275652
Bicarbonate_mean,0.03240914664012468,0.8571326232945958,0.2224096464817696
Bicarbonate_median,0.11281302970610985,0.7369639916658636,0.4403339644600885
Bicarbonate_min,1.5780097432536826,0.20904760697082286,2.258096566363417
"Bilirubin,_Total_mean",0.3614252375306133,0.5477157586236225,0.8685007053715794
"Bilirubin,_Total_median",0.4113977323903946,0.521260922848235,0.939922384821429
CKD_stage_first,1.2683151504685841,0.26008299462127366,1.9429560223177094
"Calcium,_Total_first",0.7036133330472598,0.4015722190689549,1.3162686283819771
"Calcium,_Total_last",2.69951041637002,0.10037906630143222,3.316469663168818
"Calcium,_Total_max",0.07334219525042084,0.7865312903617345,0.34642393375784963
"Calcium,_Total_mean",0.1805455004898718,0.6709048645997187,0.5758198904603724
"Calcium,_Total_median",1.1552797140846593,0.28244664169658934,1.8239497478217122
"Calcium,_Total_min",0.5318600419706943,0.4658259073418505,1.1021372162784082
"Cholesterol,_Total_last",0.49702868975093173,0.4808086076577932,1.0564653708140275
"Cholesterol,_Total_mean",0.6801603880977112,0.40953150053503007,1.2879536688627806
"Congestive heart failure, unspecified",0.6599909341542675,0.4165631438791383,1.2633928947190074
Creatinine_last,2.767223655966,0.09621290749485112,3.377625737259011
Creatinine_max,1.2732190069757212,0.2591636639299984,1.948064635703142
Creatinine_mean,0.03179103340419376,0.8584870630101581,0.22013170122106882
Creatinine_median,0.2359110807152006,0.6271750725533807,0.673059875067994
Creatinine_min,0.2837136978748213,0.5942773945069193,0.7507915910261871
Eosinophils_mean,0.031527683055790554,0.8590682543394474,0.21915533455374053
Glucose_last,1.4635576972545532,0.22636490118074468,2.1432778152423384
Hemoglobin_first_y,0.37492599874285215,0.5403313444811395,0.8880837201293866
Hemoglobin_last_y,2.54721217753343,0.1104890607022081,3.178024556509794
Hemoglobin_max_y,0.6971668027260562,0.4037373302854915,1.3085111077026894
Lymphocytes_max,2.3099571355071684,0.12854759487160056,2.9596254773200332
MCH_max,2.5140979670218346,0.11283218016762421,3.147749506342527
MCV_first,0.48075621676686364,0.4880799810493772,1.034810515114527
MCV_last,3.2084850834748364,0.0732572817747038,3.770884019207494
MCV_min,3.8256493229405057,0.05047378750607547,4.308321840582165
Monocytes_median,0.5852844511631939,0.4442484073869203,1.170561490629156
Neutrophils_max,1.1283061050093224,0.2881369383177607,1.795173473223845
Old myocardial infarction,2.4839280945108886,0.11501468335729048,3.1201100402004447
Orthostatic hypotension,0.16120598914768897,0.6880486105537227,0.539417600123671
Other and unspecified hyperlipidemia,2.7837761290471676,0.09522341428096293,3.3925398314338815
Phosphate_first,1.1881713262595348,0.2756987320021804,1.8588354627890697
Phosphate_last,0.6976282841235372,0.4035817745188459,1.3090670701085414
Phosphate_max,3.482788029923812,0.0620101820603244,4.011351064567879
Phosphate_mean,1.110916564678976,0.29188279449201404,1.7765389235560152
Phosphate_median,0.30655423749036814,0.5798023805692321,0.7863668380172436
Phosphate_min,0.007357528428486247,0.9316444564004417,0.10214861087939826
Platelet_Count_last,0.10676513178921143,0.7438574780683812,0.4269018651945509
Potassium_max,1.480516679393872,0.22369370051712206,2.160403465940821
"Protein,_Total_last",0.7806138712959919,0.37695346186974765,1.4075416734466877
Protein/Creatinine_Ratio_last,0.4481814303456887,0.5031998315877846,0.9907966555149708
Protein/Creatinine_Ratio_max,0.15461992033241007,0.694158922475992,0.5266621000659443
Protein_mean,0.9902127775364615,0.3196903753665931,1.6452527840498243
Renal dialysis status,0.8972412461683942,0.3435225130257067,1.5415234445594561
Secondary hyperparathyroidism (of renal origin),0.0021129421249531837,0.9633367513712614,0.05388788912570017
Unspecified essential hypertension,6.634784645671622,0.01000062849573268,6.643765519856302
Urea_Nitrogen_first,0.29324180238571956,0.5881505573915629,0.7657425850658269
Urea_Nitrogen_last,1.464201139717027,0.2262628566433033,2.1439283239575726
Urea_Nitrogen_max,0.45130834801108105,0.5017142947401944,0.995062051230052
White_Blood_Cells_first,1.5210253157226974,0.21746439833436038,2.2011488619745863
White_Blood_Cells_min,0.869064646667205,0.35121438416210604,1.5095761625016242
anchor_age,8.795863937760206,0.003019142367254284,8.371645496114942
disch_age,10.193025089366957,0.0014097285830855168,9.470366859292659
eGFR_first,0.17998215607901086,0.6713885757711727,0.5747801062857673
