covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.2170336474786768e-08,0.9999999878296635,1.0246637802139477e-08,-3.2253377529606796e-08,7.912704580033262e-09,0.9999999677466228,1.0000000079127045,0.0,-1.1877395014631655,0.23493605594779698,2.0896599522257944
gender,0.1834617276829486,1.201368985357113,0.06639916312427714,0.05332175935576536,0.3136016960101319,1.054768972310591,1.3683446108736914,0.0,2.7630126503186387,0.0057270546754002345,7.447990907922976
anchor_age,0.36031943976777997,1.4337873501131988,0.014682231259141297,0.33154279528717484,0.3890960842483851,1.3931157637918294,1.4756463308901406,0.0,24.54119087270483,5.370896153293969e-133,439.39127379287993
disch_age,-0.3633513773846488,0.6953420630929263,0.014633685143357339,-0.39203287322672803,-0.33466988154256955,0.6756819017511823,0.7155742716405844,0.0,-24.829793303950147,4.275084102729176e-136,449.6862681026016
CKD_stage_first,-1.0239332058931383,0.3591794315975281,0.04496318634131957,-1.112059431752288,-0.9358069800339887,0.328880955279465,0.3922691843712807,0.0,-22.772701163133096,8.551046154065303e-115,378.9256299787202
eGFR_first,-0.03219790468197422,0.9683149290572219,0.013926449309093855,-0.05949324376032089,-0.004902565603627545,0.9422418995818342,0.9951094323561852,0.0,-2.3119966882692244,0.020777865816124542,5.588808713329304
eGFR_last,0.03196597403062817,1.0324823734938073,0.014144156383536449,0.004243936927194429,0.05968801113406191,1.0042529551806352,1.061505317038037,0.0,2.2600127687951757,0.023820458367755832,5.391655015089667
eGFR_min,-0.008823460912868453,0.9912153515809782,0.013679999814741056,-0.03563576785827553,0.017988846032538627,0.9649917104780094,1.0181516198964198,0.0,-0.6449898415466805,0.5189337688086553,0.9463776748179425
eGFR_max,0.005419756923170079,1.0054344703748241,0.013916224481222553,-0.02185554186080072,0.03269505570714088,0.9783815600227809,1.0332354119535585,0.0,0.38945598574405493,0.6969388638475282,0.5208959878502031
eGFR_mean,-0.012404182762306298,0.987672432004325,0.013855319182388241,-0.039560109354094194,0.014751743829481603,0.9612121744111177,1.0148610878123465,0.0,-0.8952650313587499,0.37064542856184013,1.4318883771912245
eGFR_median,-0.018515532787470222,0.9816548266375789,0.013880108184774146,-0.045720044931147175,0.00868897935620673,0.9553093684581205,1.0087268381091983,0.0,-1.333961705556512,0.1822164070368809,2.4562752274869433
"Albumin/Creatinine,_Urine_first",0.00010388056045275029,1.000103885956225,0.00012197893699181522,-0.00013519376292368807,0.0003429548838291886,0.9998648153753413,1.000343013699579,0.0,0.8516270350816442,0.39442112954156827,1.342191254458793
"Albumin/Creatinine,_Urine_last",8.689764385128737e-05,1.0000869014195608,0.00012442504348327967,-0.00015697096015077094,0.0003307662478533457,0.9998430413591457,1.0003308209570403,0.0,0.6983935180457842,0.48493112894596024,1.0441482279658543
"Albumin/Creatinine,_Urine_min",-7.550539039534476e-05,0.999924497460065,0.00017971511701792247,-0.00042774054722787415,0.00027672976643718463,0.9995723509207181,1.0002767680596512,0.0,-0.42013933857225166,0.6743836663166681,0.5683585004954281
"Albumin/Creatinine,_Urine_max",-3.8491328288056395e-05,0.9999615094124936,0.0001400156638493402,-0.00031291698670423,0.0002359343301281172,0.9996871319667098,1.0002359621648211,0.0,-0.27490730129647406,0.7833874575737158,0.3522020646853183
"Albumin/Creatinine,_Urine_mean",8.515807447184654e-05,1.0000851617005235,0.0003577272800783086,-0.0006159745107691111,0.0007862906597128042,0.9993842151625831,1.0007865998672505,0.0,0.2380530622467622,0.8118399391777906,0.3007327784580902
"Albumin/Creatinine,_Urine_median",-0.00012538146347837762,0.9998746263964489,0.00022222138466553202,-0.0005609273740174418,0.0003101644470606866,0.9994392299163313,1.0003102125530263,0.0,-0.5642187121959064,0.5726052945607651,0.804387084694621
Bicarbonate_first,0.006944148160099449,1.0069683146631412,0.009133211265583018,-0.010956616983638753,0.02484491330383765,0.9891031881243868,1.0251561201196038,0.0,0.7603183544288866,0.4470643131892965,1.1614457072257054
Bicarbonate_last,0.013771563086680452,1.0138668278742802,0.008526650365819902,-0.0029403645390918345,0.030483490712452738,0.9970639540988925,1.0309528696109114,0.0,1.615119946970666,0.10628472209296759,3.2339938634445313
Bicarbonate_min,0.012104857245867264,1.01217841754299,0.018618161086847572,-0.024386067942719084,0.048595782434453616,0.9759088698900139,1.0497959190137234,0.0,0.6501639549363711,0.5155863214298747,0.9557141055614539
Bicarbonate_max,0.013512361683575606,1.013604066225499,0.015865496719768373,-0.017583440484008773,0.04460816385115998,0.9825702461075888,1.0456180686712642,0.0,0.851682233606921,0.39439048400346177,1.342303352620419
Bicarbonate_mean,-0.058289259157336085,0.9433770275223778,0.05806545059746151,-0.1720954510744504,0.05551693275977823,0.8418988091872313,1.0570869163196994,0.0,-1.003854418721834,0.31544878972121115,1.6645222792575736
