,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",1.4482596392895286,0.22880741350247047,2.1277942977973767
"Albumin/Creatinine,_Urine_first",0.30667257586801794,0.579729239744377,0.7865488423776187
"Albumin/Creatinine,_Urine_last",0.191891785433024,0.6613467430473083,0.5965212220754272
"Albumin/Creatinine,_Urine_max",0.1211009581509282,0.727843465763127,0.458299885465871
"Albumin/Creatinine,_Urine_mean",0.06343480285082555,0.8011472171939404,0.31986072116685765
"Albumin/Creatinine,_Urine_median",0.3351249675495139,0.5626567915122943,0.8296729171048429
"Albumin/Creatinine,_Urine_min",0.014162694200200544,0.9052697162944097,0.14358040171072228
Albumin_first,5.352890748546102,0.020687943908578744,5.595065921101554
Albumin_last,1.1736045565783122,0.27866183718382964,1.8434126564051663
Albumin_max,0.6951762205057401,0.40440931674206937,1.3061118605971005
Albumin_mean,0.33377419268117386,0.5634451126751499,0.8276530160393459
Albumin_median,0.1402485936695729,0.7080340015428437,0.4981094511336368
Albumin_min,0.26070538508060864,0.6096359595201558,0.7139800918406826
"Anemia, unspecified",0.3141971381656061,0.5751160015839726,0.7980751161678189
Aortic valve disorders,0.017268902588653785,0.8954500318767988,0.1593151660539761
Atrial fibrillation,2.2660073260884097,0.13224020192015998,2.91876726226344
Bicarbonate_first,1.5419974990905116,0.21432072616227502,2.222156720441492
Bicarbonate_last,4.905235472869449,0.026775400806473976,5.222948018639177
Bicarbonate_max,0.1879230483196928,0.6646508972900651,0.5893313196780834
Bicarbonate_mean,0.015675220513813305,0.9003646465409616,0.15141868543134343
Bicarbonate_median,0.10628017640148554,0.7444195088047784,0.4258122306682848
Bicarbonate_min,0.5151034296892897,0.4729379268007383,1.0802772529154925
CKD_stage_first,4.688828785956278,0.03035933420964933,5.041716037459076
"Calcium,_Total_first",2.365646558125274,0.12403251490920428,3.011209724685235
"Calcium,_Total_last",0.7866628820841843,0.3751111079529015,1.4146101095438377
"Calcium,_Total_max",0.0027221551558996573,0.9583898291779291,0.06131549714507851
"Calcium,_Total_mean",0.0011482809550983127,0.9729678223152234,0.039536001447144684
"Calcium,_Total_median",1.0668977798715278,0.30164721663217087,1.7290658245384898
"Calcium,_Total_min",0.7832303614298584,0.3761549976664368,1.4106008364755471
Chloride_max,0.07613729551100676,0.7826019279623214,0.3536494305236181
Coronary atherosclerosis of native coronary artery,1.1616167832609439,0.28113048603710467,1.8306881855670618
"Creatinine,_Urine_last",0.08633301755728612,0.768891777662558,0.3791475432761854
Creatinine_last,0.4230895555729995,0.5153994281842673,0.9562371583032939
Creatinine_mean,0.10283003618860939,0.7484595537593955,0.4180037387470961
Creatinine_median,0.19907768313781632,0.6554663457900693,0.6094063861538263
Creatinine_min,0.05312270750661298,0.8177159760523798,0.2903282677290373
"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",0.7303888766043464,0.3927571674917443,1.348290491142705
Hemoglobin_first_y,0.259300594482966,0.6106010633267156,0.7116979929698497
Long-term (current) use of other medications,0.13371680633031707,0.7146090309859299,0.4847739485596351
Lymphocytes_max,0.1810689968480218,0.6704561665877936,0.5767850808986733
MCHC_max,5.44326971931054,0.01964386335276782,5.669777497812528
MCHC_min,3.8076726380145596,0.05101829392976036,4.292841534272751
Neutrophils_min,1.732799668492971,0.18805374858164847,2.4107830301669293
Other and unspecified hyperlipidemia,4.44531798230589,0.034997072155882575,4.836621958084905
Other chronic pulmonary heart diseases,4.47484033237655e-05,0.9946626510873292,0.007720789459195616
Percutaneous transluminal coronary angioplasty status,1.4850600238954859,0.2229845097075249,2.16498460242943
"Peripheral vascular disease, unspecified",1.4337265560745566e-06,0.9990446266501729,0.0013789712151043487
"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",0.4325904121498917,0.5107206023248254,0.9693938367527527
Phosphate_first,1.3709015752482192,0.2416570410060378,2.048967064630277
Phosphate_last,0.5559161375806121,0.4559103886966135,1.1331778110404118
Phosphate_max,3.921813534584608,0.047663436964726795,4.390973203139811
Phosphate_mean,0.2829826477183676,0.5947529145946742,0.7496376582731364
Phosphate_median,5.745405190404903e-05,0.9939522165244646,0.008751597868624348
Phosphate_min,0.002682020403309559,0.9586974368605948,0.06085251970008537
Platelet_Count_last,0.052785739233701084,0.8182848951103874,0.28932487371964793
Potassium_max,0.5839463971325847,0.44476960337285865,1.1688699007146885
Potassium_min,0.03430257968102521,0.8530646740564738,0.22927297303481742
Renal dialysis status,0.009902682635461289,0.9207315830857316,0.11914745995117844
Sodium_first,1.6509916857212352,0.19882401110101564,2.330436099533566
"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",0.09078070804132263,0.7631869834082667,0.38989152932549576
Unspecified essential hypertension,8.664986865453823,0.0032438234110465612,8.268089001155534
Urea_Nitrogen_first,0.053553168937943534,0.816991965444481,0.2916062043626699
Urea_Nitrogen_last,3.4710612921695563,0.06245123038418261,4.001126194375876
Urea_Nitrogen_max,0.02895216622801367,0.8648895293729814,0.20941222295150774
Urea_Nitrogen_mean,0.025713332339488103,0.8726024025581003,0.1966036489590085
Urea_Nitrogen_median,0.03342584945337293,0.854933467612424,0.22611594352088882
Urea_Nitrogen_min,0.19773749167648894,0.6565533089461537,0.6070159391692524
"Urinary tract infection, site not specified",7.517415210258466e-07,0.9993082100058012,0.0009983873709946362
White_Blood_Cells_min,0.48805640076541457,0.4847955828717625,1.0445515408744241
anchor_age,11.949293712456774,0.0005466810020295618,10.837013138919529
disch_age,13.380584209954058,0.0002542425240697827,11.941507026886619
eGFR_first,0.2532489277454068,0.6147966415288117,0.7018188108979793
eGFR_last,0.12264593152362169,0.7261822945061758,0.46159633954892765
eGFR_max,0.041302907788665286,0.8389543523212217,0.2533357794205708
eGFR_mean,0.009824138962923413,0.9210455376224601,0.11865560819289854
eGFR_median,0.09968696798777661,0.7522056085202397,0.4108010315905425
eGFR_min,0.02486437268968125,0.8747054869797128,0.19313075108112698
gender,3.4850848789410382,0.06192418566332802,4.013353198401643
marital_status_SINGLE,0.039562940379463875,0.8423375668344303,0.24752958558485919
race_WHITE,0.2023583356073009,0.6528239618605916,0.6152340825794862
subject_id,0.050132439291950326,0.8228329796258127,0.2813284758068566
