covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-2.1525664739289882e-08,0.9999999784743355,1.0440863441858262e-08,-4.1989381052832984e-08,-1.0619484257467807e-09,0.9999999580106199,0.9999999989380516,0.0,-2.0616747704018192,0.03923871013569383,4.671578572056086
gender,0.07206445182573684,1.074724609794904,0.0685042734024318,-0.06220145683011463,0.20633036048158832,0.9396935600352614,1.2291592025547846,0.0,1.0519701654580087,0.2928132378996122,1.7719473164689385
anchor_age,0.35000536528976733,1.4190751623222797,0.0148036641610893,0.32099071669480594,0.3790200138847287,1.3784927838651342,1.4608522727798503,0.0,23.643157631861115,1.3880070571088287e-123,408.12414076804924
disch_age,-0.35172522254631083,0.7034733940496758,0.014760637888445144,-0.3806555411965007,-0.322794903896121,0.6834132567931556,0.7241223538125646,0.0,-23.82859231453993,1.6884310380842815e-125,414.48532860549886
CKD_stage_first,-1.0747362637038202,0.34138777977771045,0.04939264888960625,-1.1715440766284808,-0.9779284507791597,0.30988808071905344,0.37608938011144594,0.0,-21.759032727843397,5.673241935415288e-105,346.29827657411903
eGFR_first,-0.028325135442030233,0.9720722602712848,0.013860434021600528,-0.055491086934460934,-0.0011591839495995356,0.9460204555751794,0.9988414876445896,0.0,-2.043596571210358,0.04099341829630343,4.608463893544241
eGFR_last,0.03527248520521123,1.0359019382984316,0.014069098978279435,0.007697557912854265,0.0628474124975682,1.0077272602747367,1.064864341843735,0.0,2.507089136245798,0.012173000981578995,6.360171313627189
eGFR_min,-0.0077029302193252,0.9923266613183923,0.013619191772879334,-0.0343960555927129,0.018990195154062504,0.9661887643855498,1.0191716557473505,0.0,-0.5655937846961285,0.5716699539102003,0.8067456284461435
eGFR_max,0.004244883140174417,1.0042539054182662,0.013836464773958917,-0.022874089490142205,0.031363855770491035,0.9773855391376932,1.0318608841272818,0.0,0.3067895744701746,0.7590035442230133,0.3978214724600242
eGFR_mean,-0.011725342474118753,0.9883431314658533,0.013794058320095347,-0.03876119998215071,0.015310515033913208,0.9619804026571931,1.0154283214268605,0.0,-0.8500284834258773,0.39530925051328814,1.3389463792605814
eGFR_median,-0.017752370387696215,0.9824042746297152,0.0138281752556979,-0.04485509586077205,0.009350355085379621,0.9561360198624336,1.009394206223499,0.0,-1.2837825714120414,0.19921804343049496,2.327579774846719
"Albumin/Creatinine,_Urine_first",0.00018739170020232033,1.0001874092591239,0.00010319430741327283,-1.486542573724914e-05,0.0003896488261418898,0.9999851346847528,1.0003897247491067,0.0,1.8159112154496426,0.06938399260210125,3.8492533289497954
"Albumin/Creatinine,_Urine_last",0.0002233610794698255,1.0002233860264131,0.0001042566299275022,1.9021839662400434e-05,0.0004277003192772505,1.0000190220205787,1.0004277917961,0.0,2.142416071046474,0.0321600157951008,4.958588074691092
"Albumin/Creatinine,_Urine_min",-0.00010135934263509922,0.9998986457940495,0.00017510400850852934,-0.00044455689286041194,0.00024183820759021346,0.9995555419079137,1.0002418674528069,0.0,-0.5788522118850409,0.5626888975884482,0.8295905970190048
"Albumin/Creatinine,_Urine_max",-0.00021563289179988982,0.9997843903553012,0.00012762837163046533,-0.00046577990360109546,3.45141200013158e-05,0.9995343285550183,1.0000345147156204,0.0,-1.6895372795653338,0.09111651397061372,3.456143637784828
"Albumin/Creatinine,_Urine_mean",1.983354516775423e-05,1.0000198337418538,0.0003749948271316143,-0.0007151428103990332,0.0007548099007345418,0.9992851128432739,1.0007550948414152,0.0,0.052890183364564455,0.9578194059901491,0.06217442915878905
"Albumin/Creatinine,_Urine_median",2.304814813666328e-05,1.0000230484137473,0.000222726862736193,-0.00041348848121587124,0.0004595847774891978,0.9995865969933649,1.0004596904027536,0.0,0.10348167191652347,0.9175806950870433,0.12409305596950494
Bicarbonate_first,0.017000395212358035,1.0171457243137214,0.011538892572347088,-0.005615418650918996,0.03961620907563507,0.9944003183420131,1.0404113971068245,0.0,1.4733125476095874,0.14066677885430023,2.8296464460660244
Bicarbonate_last,0.010993104571966205,1.0110537507723065,0.008641384924225027,-0.005943698656062231,0.027929907799994644,0.994073930176679,1.02832360443158,0.0,1.2721461511508914,0.20332119610279598,2.2981674718425067
Bicarbonate_min,-0.019283225667786074,0.9809015064125258,0.019050685675754297,-0.056621883473057605,0.018055432137485453,0.9449513035292169,1.0182194169041783,0.0,-1.0122063843784757,0.31143938425260825,1.6829766974417846
Bicarbonate_max,0.004350502968076006,1.0043599801446246,0.0161204801184334,-0.027245057477547442,0.03594606341369946,0.973122741298072,1.0365999343212648,0.0,0.26987428017738163,0.7872569746883169,0.34509346094055743
Bicarbonate_mean,-0.06618180690768387,0.9359606847043755,0.0577018872233084,-0.17927542770536023,0.04691181388999249,0.8358756443784878,1.0480295833522542,0.0,-1.1469608723811384,0.25139779249862587,1.9919561132485426
