,test_statistic,p,-log2(p)
"Albumin/Creatinine,_Urine_first",5.735826169303252e-05,0.9939572601116377,0.008744277255398912
"Albumin/Creatinine,_Urine_last",0.00025824778342684875,0.9871784753836406,0.0186171568382648
"Albumin/Creatinine,_Urine_max",0.031367745464217514,0.8594224454437602,0.21856063857194782
"Albumin/Creatinine,_Urine_mean",0.06256189166367512,0.8024916476695263,0.31744171813960104
"Albumin/Creatinine,_Urine_median",0.16919964386671812,0.680824091128564,0.5546460068400232
"Albumin/Creatinine,_Urine_min",0.07251075823150935,0.7877155934905287,0.3442532595253984
Albumin_first,3.42695682311493,0.06414018825925398,3.962627601503529
Albumin_last,0.35299977850137754,0.5524199206042426,0.8561627498772664
Albumin_max,0.01699217777319824,0.8962863208610654,0.1579684165100245
Albumin_mean,0.19363041729497338,0.6599120740321986,0.5996542807314819
Albumin_median,0.12188974262689425,0.7269938807697613,0.45998487409912736
Albumin_min,0.615142443599367,0.4328581331267707,1.208033827835243
"Anemia, unspecified",0.3728579288032433,0.5414505585278367,0.8850984878445924
Atrial fibrillation,2.712138914335078,0.09958738364925301,3.327893205508987
Basophils_mean,0.4250774556987467,0.5144143044702556,0.9589973342172871
Bicarbonate_first,2.251253388087977,0.1335062276292122,2.9050210543960517
Bicarbonate_last,0.13565382212559457,0.7126405118637752,0.488753595413244
Bicarbonate_max,0.5226758271301765,0.4697024769748681,1.0901808932228174
Bicarbonate_mean,0.09035890213130174,0.7637213808118025,0.38888168153961666
Bicarbonate_median,0.3291635252908585,0.5661520502905852,0.8207385281540062
Bicarbonate_min,0.256120306936375,0.6127981732903742,0.7065160981937583
CKD_stage_first,19.407278386421083,1.0560382587412642e-05,16.530978372035474
"Calcium,_Total_first",1.7918375354004639,0.18070243777667333,2.4683121257927945
"Calcium,_Total_last",1.3065826568139043,0.2530143172724748,1.982709070151278
"Calcium,_Total_max",0.5267413741530542,0.46798008452705964,1.095480959449198
"Calcium,_Total_mean",0.58697631043654,0.4435907483974455,1.17269881816211
"Calcium,_Total_median",1.6816442549686326,0.19470611291755596,2.360629915824523
