,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",1.2409069636570162,0.26529633138789643,1.9143233692833739
"Albumin,_Urine_last",0.17573365736949342,0.6750655988747092,0.566900393356716
"Albumin,_Urine_max",0.12146281348241084,0.7274533341214031,0.4590733922836369
"Albumin/Creatinine,_Urine_first",0.004603297167425659,0.9459069497078739,0.08022982442801929
"Albumin/Creatinine,_Urine_last",0.05256889700157801,0.8186520113623472,0.28867776654903227
"Albumin/Creatinine,_Urine_max",0.0018865495455075,0.9653552339215867,0.050868168142929195
"Albumin/Creatinine,_Urine_mean",0.004130410056845905,0.9487566210008541,0.0758900463205045
"Albumin/Creatinine,_Urine_median",0.23507273906225346,0.6277877147386621,0.6716512979823511
"Albumin/Creatinine,_Urine_min",0.4235986453266118,0.5151468303114726,0.9569443981825596
Albumin_first,2.7856931012030155,0.09510953713857898,3.394266174738771
Albumin_last,3.66569641749001e-05,0.9951692378404493,0.006986204576559907
Albumin_max,0.029734882596483086,0.8630931571636452,0.21241181112076268
Albumin_mean,0.2982487540022859,0.5849823832128178,0.7735349164036234
Albumin_median,0.2027012174500645,0.6525492791184264,0.6158412398634691
Albumin_min,0.5826273348725585,0.44528432833762976,1.1672012574776345
Asparate_Aminotransferase_(AST)_min,2.61706361161989,0.10571991423908168,3.2416809351215923
Bicarbonate_first,2.7646638199421725,0.09636692977653372,3.3753180478093063
Bicarbonate_last,0.4721923805985762,0.4919802962528821,1.0233275579152967
Bicarbonate_max,1.0097538901300278,0.31496180653372363,1.6667512023547015
Bicarbonate_mean,0.3652892799478722,0.545583278564646,0.8741286666204786
Bicarbonate_median,0.6265891553241898,0.42860920129956737,1.2222652730419044
Bicarbonate_min,0.6591676719600738,0.41685394021902833,1.2623861228097244
CKD_stage_first,11.591373687110984,0.000662584503487535,10.559607917457297
"Calcium,_Total_first",2.488036114385585,0.11471478808272133,3.1238767112197534
"Calcium,_Total_last",0.7184650696054641,0.3966478561136678,1.3340693436627493
"Calcium,_Total_max",0.9771081842054502,0.3229137932276659,1.63077902805704
"Calcium,_Total_mean",1.5080752688821473,0.2194330183255831,2.188147468915974
"Calcium,_Total_median",3.61353493375342,0.05731117962526678,4.12503959849382
"Calcium,_Total_min",0.29162254579480346,0.5891826361317243,0.763213181716223
Chloride_max,2.23015681062866,0.13534011138084004,2.88533861393214
Chloride_min,0.07224555075339158,0.7880948871246669,0.3435587533492929
"Creatinine,_Urine_min",0.0038276191634550863,0.9506681457185605,0.07298627438903338
Creatinine_last,0.034265676786196124,0.8531428331039768,0.2291407972357557
Creatinine_max,0.054057863411774036,0.8161469926369945,0.29309908184476174
Creatinine_mean,0.13637126951476022,0.7119154479254575,0.4902221881087831
Creatinine_median,0.15206077108136734,0.6965737394788462,0.5216520099009583
"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",0.05709439613604498,0.8111487452497449,0.301961600472857
Eosinophils_max,0.9260126692713764,0.3359011783725494,1.5738912381977987
Hemoglobin_min_y,3.047108599583376,0.08088101820959193,3.6280550303591874
Hyperpotassemia,0.16459968105818126,0.6849565297211457,0.5459156635233191
MCHC_min,0.6970600958587425,0.4037733113860913,1.3083825403433098
Phosphate_first,0.9718489285992687,0.32421949396193434,1.6249572582061567
Phosphate_last,1.8788003063831489,0.17047056340306188,2.552405456511051
Phosphate_max,1.0008967319665765,0.3170936222234056,1.657019234409334
Phosphate_mean,0.8689589961857517,0.351243663765192,1.5094558947124788
Phosphate_median,0.16523332214755826,0.6843833241511306,0.547123487686523
Phosphate_min,1.727246412252732,0.18876293848864806,2.4053525595692897
Potassium_max,0.5139550514483534,0.47343173862213317,1.0787716680335058
"Protein,_Total_min",0.002396799268008958,0.9609534709100648,0.057461517075040415
Protein/Creatinine_Ratio_first,0.40235918020097855,0.5258733863015226,0.9272126089498467
Protein/Creatinine_Ratio_last,1.3244488007181872,0.2497951881070279,2.0011824088181602
Protein/Creatinine_Ratio_max,1.9656236928655055,0.16091314948358798,2.6356458700092293
Protein/Creatinine_Ratio_mean,2.872127272365107,0.09012567203690458,3.4719180776881746
Protein/Creatinine_Ratio_median,1.0750608579324403,0.2998051093399421,1.737903124688363
Protein_max,0.47786178354020575,0.48939244043483177,1.0309362783728218
Protein_mean,0.04847488292646398,0.8257386643516791,0.27624283539729394
Renal dialysis status,0.0002161305225671121,0.9882704197901844,0.01702223535531494
"Total_Protein,_Urine_first",0.7911728571898451,0.37374571472687157,1.4198710570555058
"Total_Protein,_Urine_last",2.820470101027975,0.0930691417325534,3.425553286749348
"Total_Protein,_Urine_max",1.361443836229823,0.24328740885742556,2.039266438190984
"Total_Protein,_Urine_mean",0.2393924199967036,0.6246452857986442,0.6788909286208101
"Total_Protein,_Urine_median",0.9086190164090006,0.3404810999872542,1.5543533780345613
"Total_Protein,_Urine_min",0.014486577615291657,0.9041978183706882,0.14528965813025485
"Urea_Nitrogen,_Urine_first",1.117470051155731,0.2904638702439215,1.7835693717448584
"Urea_Nitrogen,_Urine_median",1.0916639110569768,0.2961028338543427,1.7558297969823555
"Urea_Nitrogen,_Urine_min",0.08501343113232594,0.7706149354863678,0.3759179473750961
Urea_Nitrogen_max,1.5304505435200735,0.21604483878814326,2.2105973288691874
Urea_Nitrogen_mean,0.15210559858951825,0.6965312394111327,0.5217400357681768
Urea_Nitrogen_median,0.8226582654584348,0.36440409618685066,1.4563889186364165
Uric_Acid_first,2.4467864360570206,0.11776574474739936,3.086008140353017
Uric_Acid_mean,1.3485012440880961,0.24554030229707613,2.0259682509906662
anchor_age,12.502260343600351,0.0004064599507274879,11.264599171734467
disch_age,12.541348356232177,0.0003980449708703048,11.294780944794528
eGFR_first,0.2607201729086084,0.6096258175988514,0.714004092756394
eGFR_last,0.0010493987296525003,0.9741575088718644,0.037773038291595666
eGFR_max,0.006309070193853555,0.9366908813684315,0.09435507421239449
eGFR_mean,0.00029693792791236093,0.9862516238535809,0.019972324376141045
eGFR_median,0.018489943265962247,0.8918388857008591,0.16514498989270945
eGFR_min,0.06052930631823422,0.8056612978052835,0.3117546415880794
gender,0.4872861196722785,0.4851404083138562,1.0435257453976907
subject_id,0.040032507108845136,0.8414170362089617,0.24910706617290324
