covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.5843650718128522e-08,0.9999999841563494,1.0336046905185283e-08,-3.610193039480837e-08,4.4146289585513205e-09,0.9999999638980702,1.000000004414629,0.0,-1.5328539879381005,0.12531183498448353,2.9964054195163805
gender,0.2018583360063266,1.2236746451948113,0.06804597808112589,0.06849066967451792,0.33522600233813526,1.0708906331462031,1.3982563587221308,0.0,2.9664991480564322,0.003012111955865729,8.375008890757641
anchor_age,0.34782531519028875,1.4159848770857224,0.014818649755474565,0.31878129537004535,0.37686933501053216,1.3754504746214904,1.4577138247651025,0.0,23.47213281438068,7.857431500932495e-122,402.3011697862238
disch_age,-0.35332363137883815,0.7023498541404481,0.014746917711776466,-0.38222705897689585,-0.32442020378078046,0.6823401041688234,0.722946393737189,0.0,-23.959151212777435,7.418428023342079e-127,418.9937545408295
CKD_stage_first,-1.0525217943365341,0.3490563898477865,0.047131539168943894,-1.144897913643603,-0.9601456750294652,0.31825640576896613,0.38283711210519433,0.0,-22.33158120645604,1.8235992369412735e-110,364.5453017269693
eGFR_first,-0.03234417485054405,0.9681733038273457,0.0139303924809656,-0.059647242403744194,-0.0050411072973439025,0.9420968067798562,0.9949715777595186,0.0,-2.3218423238784496,0.02024142735995481,5.626545161969725
eGFR_last,0.033529478326090795,1.0340979267528767,0.01414348719713408,0.005808752803904645,0.061250203848276945,1.0058256563220767,1.06316488885841,0.0,2.37066558330006,0.017756088529071172,5.815542382930059
eGFR_min,-0.0091087528597115,0.9909326061579988,0.01367884146071692,-0.03591878947294993,0.017701283753526927,0.9647186356108303,1.0178588799887176,0.0,-0.6659009014667022,0.505474444281015,0.9842899405257242
eGFR_max,0.008509822060714704,1.008546133524748,0.013925287830480589,-0.018783240561381153,0.035802884682810565,0.9813920651824022,1.0364515258829488,0.0,0.6111056492554391,0.5411296401175971,0.8859538284708551
eGFR_mean,-0.01347054762319763,0.986619774187169,0.013865893297594443,-0.040647199099958065,0.013706103853562803,0.9601678182699904,1.0138004631013615,0.0,-0.9714879044637247,0.3313053734722023,1.5937664920756465
eGFR_median,-0.019084184325886603,0.9810967657963336,0.013889032149366234,-0.04630618711876336,0.008137818466990153,0.9547495854073,1.0081710205146597,0.0,-1.374047098505523,0.169427061118649,2.5612637726158702
"Albumin/Creatinine,_Urine_first",5.509116160193383e-05,1.0000550926791478,0.00013021373653735835,-0.00020012307230367587,0.0003103053955075435,0.9997998969509827,1.000310353545207,0.0,0.42308256461197674,0.6722350227893275,0.5729623872782686
"Albumin/Creatinine,_Urine_last",8.369471284842344e-05,1.0000836982153487,0.0001308989497349499,-0.0001728625142461972,0.0003402519399430441,0.9998271524256175,1.0003403098322003,0.0,0.6393841434013968,0.5225730617565786,0.9362953381434612
"Albumin/Creatinine,_Urine_min",2.030549837869412e-05,1.0000203057045367,0.00018698195955056012,-0.0003461724080991289,0.00038678340485651715,0.9996538875026556,1.0003868582152025,0.0,0.10859602941108067,0.9135229102002933,0.1304871842963552
"Albumin/Creatinine,_Urine_max",-1.255061214291144e-05,0.9999874494666157,0.00014536383060612094,-0.0002974584847856897,0.0002723572604998668,0.9997025857516031,1.0002723943531058,0.0,-0.08633930524931395,0.9311966940453927,0.10284215851915485
"Albumin/Creatinine,_Urine_mean",0.0002033296914635589,1.0002033503643464,0.00035466084138481785,-0.0004917927843773568,0.0008984521673044745,0.9995083281258723,1.0008988558963543,0.0,0.5733074186302399,0.5664365632271853,0.820013701140143
"Albumin/Creatinine,_Urine_median",-0.0003049211540350933,0.9996951253296953,0.0002198951591026883,-0.0007359077462510675,0.00012606543818088081,0.9992643629674436,1.0001260733847621,0.0,-1.3866660606780294,0.16554361424787933,2.594716734231591
