,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",0.23114433316806102,0.6306766178662602,0.6650276481436778
"Albumin/Creatinine,_Urine_first",0.0561960448999818,0.8126125319347949,0.2993604812157654
"Albumin/Creatinine,_Urine_last",0.40340932290592785,0.5253337723642578,0.9286937602400531
"Albumin/Creatinine,_Urine_max",0.0005143013835452461,0.9819069541934478,0.02634177409855922
"Albumin/Creatinine,_Urine_mean",0.23009234771233825,0.6314553625134968,0.6632473411698868
"Albumin/Creatinine,_Urine_median",0.21454186188822771,0.6432305928924614,0.6365920702662986
"Albumin/Creatinine,_Urine_min",0.004281287642801655,0.947830405190367,0.07729915335789211
Albumin_first,0.8376400598438634,0.36007258826440025,1.4736403211861315
Albumin_last,0.038153314135386175,0.8451356041886953,0.24274525077703119
Albumin_max,0.0143054410148513,0.9047957772712862,0.14433589867632923
Albumin_mean,3.419536326217898e-05,0.9953342528744096,0.006747002412059823
Albumin_median,1.0462495387181445,0.30637243570349715,1.706641590910156
Albumin_min,0.1774197943911712,0.6736000697716716,0.5700358070483154
"Anemia, unspecified",1.1893489564098514,0.27546091882789536,1.8600804447393047
Aortocoronary bypass status,1.4263355751310407,0.23236340674645428,2.1055452079960006
"Asthma, unspecified type, unspecified",3.460637820896684,0.06284606826764051,3.9920336991974605
Basophils_first,5.393759550045707,0.02020888510022514,5.628866457604027
Bicarbonate_first,0.8085898347005963,0.36853749517078693,1.4401166876563543
Bicarbonate_last,1.383520304801197,0.23950242036295583,2.0618878592683307
Bicarbonate_max,0.5441022118221085,0.4607375915616361,1.1179827827124387
Bicarbonate_mean,0.11480322774950004,0.7347406250439831,0.4446930490255099
Bicarbonate_median,0.46339526149731275,0.49604145350588136,1.0114674051857127
Bicarbonate_min,4.503117455246299,0.03383311903741986,4.885420006068927
CKD_stage_first,11.371676450127229,0.000745725401767313,10.389067894429255
"Calcium,_Total_first",2.295270243153801,0.129768622813387,2.94598650341316
"Calcium,_Total_last",1.105344326080417,0.29309623250236627,1.7705536713330774
"Calcium,_Total_max",0.8342149915428646,0.36105654508663165,1.4697032995261003
"Calcium,_Total_mean",0.17125946694248023,0.6789948967582194,0.558527363494346
"Calcium,_Total_median",0.27548391339456535,0.599676614461309,0.7377433816443331
"Calcium,_Total_min",0.9763176843736713,0.3231096045845114,1.6299044588600775
Chloride_last,2.831747026459339,0.0924177745481136,3.4356858404461774
Chloride_max,0.361592111403611,0.5476233444801673,0.8687441467431318
Coronary atherosclerosis of native coronary artery,1.8253985901427425,0.17667200932114863,2.500854607416186
"Creatinine,_Serum_first",0.005462068088720942,0.9410853363525696,0.08760254435589887
"Creatinine,_Serum_last",0.1069843057754662,0.7436039336286359,0.4273936928231963
"Creatinine,_Serum_mean",0.0003768200227404561,0.9845125551549213,0.022518490442355665
"Creatinine,_Serum_median",0.003114067443612986,0.955498083795104,0.06567511493640732
"Creatinine,_Serum_min",0.0417213200760264,0.8381519092202401,0.2547163487944652
Creatinine_last,0.03828337890408583,0.8448752078073654,0.24318983085701218
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",1.511386280385028,0.21892767409744185,2.1914737613844615
Hyperpotassemia,0.028836714154750673,0.8651566027098889,0.2089667950815502
Hyposmolality and/or hyponatremia,0.12672976909837347,0.7218471190325046,0.47023477573671235
Lymphocytes_max,0.05211782531880985,0.8194182422481361,0.287328083802164
MCHC_max,0.5375969122119324,0.4634303537523343,1.109575553978076
MCHC_min,3.2877891290837953,0.06979694568733402,3.8406922842588234
MCH_max,0.34190136613209676,0.5587337681039,0.8397670800297254
MCV_max,0.020332898178154816,0.8866112536031022,0.17362642038965515
Monocytes_min,6.072251721425323,0.013732178990285034,6.186295622625171
Neutrophils_min,1.0473671631967199,0.3061142329504818,1.7078579695595224
"Osteoporosis, unspecified",0.002260133610540512,0.9620821635434851,0.055767986884820445
Other and unspecified hyperlipidemia,2.268476553234765,0.13202963171917162,2.921066341540346
Other chronic pulmonary heart diseases,0.15149012159495137,0.6971153927004152,0.5205306113940158
"Peripheral vascular disease, unspecified",0.1786512094224146,0.6725349412239267,0.57231887075571
"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",0.29838643207363436,0.5848957555559625,0.7737485750523934
Phosphate_first,4.05529819778628,0.044032941312378907,4.505272973138943
Phosphate_last,0.16898500679832848,0.6810154439799423,0.5542405790279452
Phosphate_max,3.8753284885949304,0.049000720160453995,4.351053237194211
Phosphate_mean,0.7229940903056757,0.39516354600677395,1.339478231013834
Phosphate_median,0.2567019492559607,0.6123950677723544,0.7074654314634755
Phosphate_min,0.06056903504444272,0.8055988075170546,0.31186654708202044
Platelet_Count_min,0.06465312407219129,0.7992871401528225,0.32321421719606025
Potassium_max,0.8374860175607087,0.3601167622676388,1.4734633410198983
Pure hypercholesterolemia,0.27724352873827335,0.598513623508097,0.7405440083804423
