covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.3117239852464431e-08,0.9999999868827602,1.0302025839262654e-08,-3.3308839465220256e-08,7.074359760291393e-09,0.999999966691161,1.0000000070743595,0.0,-1.2732680015684439,0.20292295731757148,2.3009960038951394
gender,0.11942005277789677,1.1268431524861806,0.07676837165278869,-0.031043190813354687,0.2698832963691482,0.9694337015417366,1.3098115820458989,0.0,1.5555892382088676,0.11980579941323549,3.0612303488457466
anchor_age,0.3431091198402144,1.4093225385864772,0.014890361178870671,0.3139245482128345,0.37229369146759433,1.3687864552667484,1.451059082390441,0.0,23.042363829769563,1.7545107458601205e-117,387.85451831797326
disch_age,-0.34623611521502223,0.7073454523639757,0.01486591498016185,-0.3753727731733739,-0.31709945725667055,0.687033123532362,0.7282583209489601,0.0,-23.290602406717966,5.520423414944618e-120,396.1665924609268
CKD_stage_first,-1.0509731664754294,0.3495973670762891,0.047147978250246955,-1.1433815057897911,-0.9585648271610675,0.3187393783813821,0.3834427979602677,0.0,-22.290948742217267,4.5230554351302815e-110,363.2347927596822
eGFR_first,-0.03031029370537596,0.9701444571215136,0.01392881093408617,-0.05761026148365256,-0.0030103259270993603,0.9440177958449542,0.9969942005607872,0.0,-2.1760862322570205,0.029548813195632656,5.080756002896767
eGFR_last,0.032324865237651136,1.032852988840377,0.01414496287949622,0.004601247431182568,0.06004848304411971,1.0046118494247056,1.0618880288614931,0.0,2.2852562790749724,0.02229780494072546,5.486954495638076
eGFR_min,-0.009400065543022732,0.9906439769642319,0.013683945470194818,-0.03622010583101459,0.017419974744969126,0.9644279938947414,1.0175725873865684,0.0,-0.6869411723027644,0.4921198002461149,1.022918530985444
eGFR_max,0.006394226774911429,1.006414713485216,0.013911554889066336,-0.020871919776610695,0.033660373326433554,0.9793443911853518,1.034233293860599,0.0,0.4596342267920687,0.645778787489508,0.6308880427343414
eGFR_mean,-0.010314272308344617,0.9897387373895855,0.013852167911946774,-0.037464022523561694,0.016835477906872464,0.9632290716486674,1.0169779932128422,0.0,-0.7445962519302912,0.45651583444164134,1.1312631933323116
eGFR_median,-0.017309098912813386,0.9828398429518357,0.01388299511565393,-0.04451926933704057,0.009901071511413798,0.9564571696204835,1.0099502492901817,0.0,-1.2467841966821924,0.2124766365962642,2.2346238800829936
"Albumin/Creatinine,_Urine_first",1.1258098956689383e-05,1.0000112581623293,0.00012570418108274906,-0.00023511756867159993,0.0002576337665849787,0.9997649100692978,1.000257666957014,0.0,0.08956025853490392,0.9286366665379557,0.10681384910218288
"Albumin/Creatinine,_Urine_last",5.7526916711591935e-05,1.0000575285714164,0.00012762941376939286,-0.00019262213764437855,0.0003076759710675624,0.9998073964128085,1.0003077233081739,0.0,0.4507340041186306,0.6521812714702906,0.6166550827259889
"Albumin/Creatinine,_Urine_min",3.785899947968165e-05,1.0000378597161406,0.00018314236085276137,-0.00032109343183536895,0.0003968114307947322,0.9996789581131434,1.000396890170865,0.0,0.2067189660731668,0.8362293445361404,0.2580294242941719
"Albumin/Creatinine,_Urine_max",1.602023772427937e-05,1.0000160203660489,0.00014423101264434188,-0.00026666735251237183,0.0002987078279609306,0.9997333682000656,1.0002987524455864,0.0,0.11107346076660746,0.9115580937355859,0.1335934925192571
