,test_statistic,p,-log2(p)
"Acute kidney failure, unspecified",0.1693245870482617,0.6807127673468363,0.554881925929822
"Albumin/Creatinine,_Urine_first",0.0836069238734105,0.7724676492075064,0.37245358038840787
"Albumin/Creatinine,_Urine_last",0.016218894295297315,0.8986606792166724,0.15415161632288746
"Albumin/Creatinine,_Urine_max",0.09357847380776449,0.7596762262289078,0.3965434215155807
"Albumin/Creatinine,_Urine_mean",0.5848644117017191,0.4444119185136436,1.1700305865537954
"Albumin/Creatinine,_Urine_median",1.2103470250297816,0.27126340536482185,1.882233660093486
"Albumin/Creatinine,_Urine_min",0.005546503483733219,0.940632551298425,0.08829683627829298
Albumin_first,0.0724507419311812,0.787801362216936,0.34409618331504704
Albumin_last,0.18251678248122152,0.6692192197570825,0.5794492151864507
Albumin_max,0.06344833686073119,0.8011264502096626,0.3198981185551355
Albumin_mean,0.005700785514614685,0.939814075997082,0.08955271912629831
Albumin_median,1.0916447532948683,0.2961070718698776,1.7558091483443088
Albumin_min,0.47187606201189525,0.4921253560662969,1.0229022436729318
"Anemia, unspecified",1.8296164268750152,0.17617285794468063,2.5049364221890147
Asparate_Aminotransferase_(AST)_first,0.07509568149765317,0.7840570232196609,0.3509695118165606
Bicarbonate_first,1.5837587933782582,0.20822009938596822,2.263818756870257
Bicarbonate_last,2.549274727685325,0.11034489892321483,3.179908157324961
Bicarbonate_max,1.3724015339752422,0.24139969515816395,2.050504240642327
Bicarbonate_mean,0.5568223384954538,0.4555434115535144,1.134339550961694
Bicarbonate_median,0.743443474798049,0.3885600382882205,1.3637905612517165
Bicarbonate_min,3.375581098332154,0.06616924142930805,3.917695449323069
"Bilirubin,_Total_mean",0.1871830172314508,0.6652715827922636,0.5879846848562803
CKD_stage_first,14.829389179140572,0.00011768714589147799,13.052755625624464
"Calcium,_Total_first",0.6020152268234812,0.43781015714037463,1.1916226696374268
"Calcium,_Total_last",0.9251141803091614,0.3361357287845677,1.5728841960952202
"Calcium,_Total_max",1.0040707693801276,0.3163275016438375,1.6605091050757306
"Calcium,_Total_mean",0.6267892922897322,0.42853547415240445,1.2225134593584024
"Calcium,_Total_median",0.6023104828996529,0.4376978276131277,1.1919928712931875
"Calcium,_Total_min",2.180833199040888,0.13973879286377724,2.8391955121995394
"Cholesterol,_Total_last",0.03705264386901121,0.8473579043462218,0.23895663564443054
"Creatinine,_Urine_last",0.09045014933776582,0.7636056621298153,0.38910029453377815
"Creatinine,_Urine_min",0.009832918674839847,0.9210103806193837,0.11871067800212069
Creatinine_last,2.325329380486922,0.12728327542385917,2.9738852282654333
Creatinine_max,0.019307300153696607,0.8894890978363831,0.16895117190619657
Creatinine_mean,0.09201550331652582,0.7616303289633519,0.39283716538302843
Creatinine_median,0.03958416025884071,0.8422958455964941,0.24760104448225312
Creatinine_min,1.334233288867619,0.2480535053587885,2.0112767501219677
Eosinophils_first,0.28587659785162256,0.5928751017821987,0.754199883906978
Eosinophils_max,0.05311032114340525,0.817736854826174,0.2902914318107575
Globulin_last,0.3001167172441391,0.5838092588015962,0.7764310037436093
Glucose_min,7.162138889707431,0.0074458357886370025,7.069350485492729
Hemoglobin_max_y,0.700424604445368,0.40264105777960524,1.3124338018261947
MCHC_min,2.3844272264412973,0.12254980220694979,3.028559939163091
MCH_max,1.447169290491119,0.22898270743217067,2.1266894434815162
Mitral valve disorders,4.719674824397564,0.029819381656763382,5.067605847980673
Neutrophils_max,4.176744774406228,0.04098234474378987,4.608853661417111
Orthostatic hypotension,0.10039699716761695,0.7513537410996465,0.41243579916389583
Phosphate_first,6.019366672326358,0.014149723569053365,6.143082321131093
Phosphate_last,1.5082276191579425,0.21940973527354496,2.188300554928985
Phosphate_max,2.8825711618855387,0.089542940370129,3.481276496195392
Phosphate_mean,0.7877213985254515,0.3747900150249638,1.415845576964584
Phosphate_median,0.2100073264208042,0.6467616616936211,0.6286939326555426
Phosphate_min,0.6395900947436164,0.4238592687691983,1.2383427592280936
Platelet_Count_max,1.3377505100527383,0.24743106017250496,2.0149014808132226
Platelet_Count_median,0.07431052256942369,0.7851610467391629,0.3489394950204247
Potassium_max,0.10899876438645931,0.74128692007402,0.4318960394698692
Potassium_mean,0.8597333266198709,0.35381332897963313,1.498939696122419
Protein/Creatinine_Ratio_last,1.9005262107363294,0.16801943114196355,2.573300007174445
Protein/Creatinine_Ratio_max,2.2321080707892165,0.1351693151205568,2.88716041329524
Renal dialysis status,0.2963372293855037,0.5861878131173321,0.7705651202716318
Sodium_last,5.166638835949887,0.023024723999921448,5.440672327109846
"Total_Protein,_Urine_last",4.724749894216253,0.029731506901825473,5.07186360359958
Unspecified essential hypertension,11.404661905057186,0.0007326003213514701,10.414686045671868
Urea_Nitrogen_first,0.5439936597185955,0.4607823207706869,1.1178427301595473
Urea_Nitrogen_last,2.3376034474566265,0.12628370334660893,2.9852596205916266
Urea_Nitrogen_max,1.3942391690510136,0.2376905079951606,2.0728438034780194
Urea_Nitrogen_median,2.1641224775367025,0.14126524520916897,2.8235215246988155
Uric_Acid_first,0.6075793195392797,0.43570069757834684,1.1985906718063817
White_Blood_Cells_mean,0.25823620594665225,0.6113345024357519,0.7099661028078472
White_Blood_Cells_min,0.07627179450899504,0.7824148204971183,0.35399439681706346
anchor_age,13.475146649927552,0.00024174429541742274,12.01423053357059
disch_age,11.85442234774352,0.0005752457646176521,10.763533923242813
eGFR_first,0.21250821053579616,0.6448085573475844,0.6330572046799772
eGFR_last,0.017182564130252997,0.8957102187128397,0.1588960296192797
eGFR_max,0.0021141375502530826,0.9633263887805632,0.05390340824567463
eGFR_mean,0.030134999533254634,0.8621842699760338,0.21393185321830485
eGFR_median,0.04475781372179688,0.8324499861428523,0.264564497671846
eGFR_min,0.026796459613014856,0.869970276167809,0.20096198491204337
gender,1.5307338278415996,0.21600234367497825,2.210881128841558
marital_status_MARRIED,0.050683103006831626,0.8218788584259844,0.28300233264422575
subject_id,0.17549450747312625,0.675274127897626,0.5664548109841171
