covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
subject_id,-1.6023747762556727e-08,0.9999999839762523,1.0147420354544534e-08,-3.591232619345268e-08,3.8648306683392245e-09,0.9999999640876744,1.0000000038648307,0.0,-1.5790956915843615,0.11431410977639607,3.128924608674365
gender,0.12394087478449331,1.1319489422954518,0.07177872415365368,-0.016742839412903165,0.2646245889818898,0.9833965429532542,1.3029417452657237,0.0,1.7267076873528475,0.08422017436502349,3.5696903273846226
anchor_age,0.35359816397342636,1.4241827835306788,0.014754782773109083,0.3246793211384205,0.3825170068084322,1.38358688776455,1.4659698056132167,0.0,23.964986093720526,6.448894342179783e-127,419.1958162178782
disch_age,-0.35490875268307165,0.701237426323066,0.014707846284854132,-0.383735601691537,-0.3260819036746063,0.6813115409865781,0.7217460713554602,0.0,-24.130572607938536,1.1943996639386064e-128,424.95051048092006
CKD_stage_first,-1.0936720762967216,0.33498414511341895,0.048979869325118726,-1.1896708561414324,-0.9976732964520107,0.3043214131082341,0.3687363841119464,0.0,-22.329011721879898,1.9315139268917795e-110,364.46235835766606
eGFR_first,-0.030043397566571015,0.9704034194876929,0.013868447773801867,-0.05722505572469737,-0.0028617394084446655,0.944381506983785,0.9971423514645084,0.0,-2.1663129181136167,0.03028728323768567,5.045144015249898
eGFR_last,0.037352122926645304,1.0380584806812327,0.014073491933976705,0.009768585599336008,0.0649356602539546,1.0098164539734447,1.0670903658523339,0.0,2.654076408461821,0.007952581686863348,6.974360998830666
eGFR_min,-0.009491507580277338,0.9905533946023652,0.013604581156243349,-0.03615599667126659,0.017172981510711914,0.9644898245450019,1.0173212848784055,0.0,-0.6976699592049947,0.4853836192579052,1.0428026736957106
eGFR_max,0.010008405222610062,1.0100586568163488,0.013838124108673114,-0.01711381964398468,0.0371306300892048,0.9830317899387668,1.0378285836241332,0.0,0.7232486964282423,0.4695271059983278,1.0907196472094836
eGFR_mean,-0.014365949392310015,0.9857367484863045,0.013794012018036622,-0.04140171614997447,0.012669817365354436,0.9594436285213416,1.0127504195466532,0.0,-1.0414627284306803,0.2976608426730171,1.7482586475709379
eGFR_median,-0.019630095722210212,0.9805613200572525,0.013834217543707096,-0.04674466386216829,0.0074844724177478665,0.9543310416858732,1.0075125510890677,0.0,-1.4189523664921362,0.15591290369196695,2.6811877613222586
"Albumin/Creatinine,_Urine_first",0.000205406133589337,1.0002054272308736,9.644605478143087e-05,1.6375339766755426e-05,0.0003944369274119186,1.0000163754738431,1.0003945147278857,0.0,2.1297515388766803,0.03319213151284859,4.913014911239021
"Albumin/Creatinine,_Urine_last",0.0002514964717718578,1.000251528099661,0.00010306492986811018,4.949292116121533e-05,0.0004535000223825002,1.0000494941459561,1.000453602869064,0.0,2.440175063367258,0.014680145929840585,6.0899898802304575
"Albumin/Creatinine,_Urine_min",-0.00021923993122058684,0.9997807841000969,0.00016516390255654474,-0.0005429552317774975,0.00010447536933632382,0.9994571921417407,1.0001044808270778,0.0,-1.3274082764272834,0.1843736633691534,2.439295504414653
"Albumin/Creatinine,_Urine_max",-0.0002603576836130314,0.9997396762065074,0.00012169619308230135,-0.0004988778391099744,-2.183752811608827e-05,0.9995012465797483,0.999978162710321,0.0,-2.1394069692628372,0.032402723008371645,4.947741132664758
"Albumin/Creatinine,_Urine_mean",0.0002863731651356482,1.000286414173845,0.0003306923215230856,-0.0003617718750135393,0.0009345182052848356,0.9996382935565405,1.0009349550034776,0.0,0.8659806911049083,0.3865007506735687,1.371456878688124
"Albumin/Creatinine,_Urine_median",-0.00017183523589651305,0.999828179526932,0.00019072628193980235,-0.0005456518794037578,0.00020198140761073168,0.99945449696151,1.0002020018072286,0.0,-0.9009520562601239,0.3676138115166072,1.4437371241467092
Bicarbonate_first,-0.0012375403058402725,0.9987632251313783,0.009423168104699337,-0.019706610411317535,0.01723152979963699,0.9804862955829714,1.017380849042595,0.0,-0.13132953716734722,0.895514626860106,0.1592110982694229
Bicarbonate_last,0.016864967988987976,1.0170079844195912,0.008662639769016493,-0.00011349396932872069,0.03384342994730467,0.9998865124708681,1.0344226344420604,0.0,1.94686243901179,0.05155122881492293,4.277849372577727
Bicarbonate_min,-0.016532554870973368,0.9836033577890438,0.01852866786795976,-0.05284807657367904,0.019782966831732307,0.9485241045684534,1.0199799465233945,0.0,-0.8922689417711395,0.37224879721881954,1.4256609075957634
